Year,Location,Plot_ID,Tray,Entry,Cross-Id,Cross,GH_Awns,Plot,PH,HD,Awns
2021,Kinston,K21_SunRil_65,1.17.1,192,UX1993,GA001138-8E36/HILLIARD,+,65,92.5,106,1
2021,Kinston,K21_SunRil_66,1.17.2,193,UX1993,GA001138-8E36/HILLIARD,+,66,95,98,1
2021,Kinston,K21_SunRil_67,1.17.3,194,UX1993,GA001138-8E36/HILLIARD,+,67,92.5,106,1
2021,Kinston,K21_SunRil_68,1.17.4,196,UX1993,GA001138-8E36/HILLIARD,+,68,97.5,115,1
2021,Kinston,K21_SunRil_69,1.18.1,197,UX1993,GA001138-8E36/HILLIARD,+,69,110,102,1
2021,Kinston,K21_SunRil_70,1.18.2,198,UX1993,GA001138-8E36/HILLIARD,+,70,95,107,1
2021,Kinston,K21_SunRil_71,1.18.3,NC8248-1,UX2010,Parent,+,71,87.5,100,1
2021,Kinston,K21_SunRil_72,1.18.4,Hilliard,UX2010,Parent,+,72,95,102,1
2021,Kinston,K21_SunRil_73,1.19.1,51,UX2010,HILLIARD/NC8248-1,+,73,100,104,1
2021,Kinston,K21_SunRil_74,1.19.2,52,UX2010,HILLIARD/NC8248-1,+,74,97.5,105,1
2021,Kinston,K21_SunRil_75,1.19.3,53,UX2010,HILLIARD/NC8248-1,+,75,97.5,99,1
2021,Kinston,K21_SunRil_76,1.19.4,54,UX2010,HILLIARD/NC8248-1,+,76,95,98,1
2021,Kinston,K21_SunRil_77,1.20.1,55,UX2010,HILLIARD/NC8248-1,+,77,95,101,1
2021,Kinston,K21_SunRil_78,1.20.2,56,UX2010,HILLIARD/NC8248-1,+,78,95,103,1
2021,Kinston,K21_SunRil_79,1.20.3,57,UX2010,HILLIARD/NC8248-1,+,79,95,105,1
2021,Kinston,K21_SunRil_80,1.20.4,58,UX2010,HILLIARD/NC8248-1,+,80,92.5,101,1
2021,Kinston,K21_SunRil_81,2.1.1,Barley,UX2010,Marker,+,81,NA,NA,1
2021,Kinston,K21_SunRil_82,2.1.2,59,UX2010,HILLIARD/NC8248-1,+,82,90,103,1
2021,Kinston,K21_SunRil_83,2.1.3,60,UX2010,HILLIARD/NC8248-1,+,83,85,103,1
2021,Kinston,K21_SunRil_84,2.1.4,62,UX2010,HILLIARD/NC8248-1,+,84,95,101,1
2021,Kinston,K21_SunRil_85,2.2.1,63,UX2010,HILLIARD/NC8248-1,+,85,105,103,1
2021,Kinston,K21_SunRil_86,2.2.2,64,UX2010,HILLIARD/NC8248-1,+,86,95,100,1
2021,Kinston,K21_SunRil_87,2.2.3,65,UX2010,HILLIARD/NC8248-1,+,87,100,101,1
2021,Kinston,K21_SunRil_88,2.2.4,67,UX2010,HILLIARD/NC8248-1,+,88,100,103,1
2021,Kinston,K21_SunRil_89,2.3.1,70,UX2010,HILLIARD/NC8248-1,+,89,105,107,1
2021,Kinston,K21_SunRil_90,2.3.2,71,UX2010,HILLIARD/NC8248-1,+,90,92.5,102,1
2021,Kinston,K21_SunRil_91,2.3.3,72,UX2010,HILLIARD/NC8248-1,+,91,95,104,1
2021,Kinston,K21_SunRil_92,2.3.4,73,UX2010,HILLIARD/NC8248-1,+,92,95,106,1
2021,Kinston,K21_SunRil_93,2.4.1,75,UX2010,HILLIARD/NC8248-1,+,93,102.5,106,1
2021,Kinston,K21_SunRil_94,2.4.2,76,UX2010,HILLIARD/NC8248-1,+,94,120,100,1
2021,Kinston,K21_SunRil_95,2.4.3,77,UX2010,HILLIARD/NC8248-1,+,95,97.5,98,1
2021,Kinston,K21_SunRil_96,2.4.4,78,UX2010,HILLIARD/NC8248-1,+,96,107.5,109,1
2021,Kinston,K21_SunRil_97,2.5.1,79,UX2010,HILLIARD/NC8248-1,+,97,85,104,1
2021,Kinston,K21_SunRil_98,2.5.2,80,UX2010,HILLIARD/NC8248-1,+,98,95,102,1
2021,Kinston,K21_SunRil_99,2.5.3,81,UX2010,HILLIARD/NC8248-1,+,99,90,101,1
2021,Kinston,K21_SunRil_100,2.5.4,82,UX2010,HILLIARD/NC8248-1,+,100,100,101,1
2021,Kinston,K21_SunRil_101,2.6.1,84,UX2010,HILLIARD/NC8248-1,+,101,105,105,1
2021,Kinston,K21_SunRil_102,2.6.2,86,UX2010,HILLIARD/NC8248-1,+,102,90,100,1
2021,Kinston,K21_SunRil_103,2.6.3,87,UX2010,HILLIARD/NC8248-1,+,103,90,114,1
2021,Kinston,K21_SunRil_104,2.6.4,88,UX2010,HILLIARD/NC8248-1,+,104,87.5,74,1
2021,Kinston,K21_SunRil_105,2.7.1,89,UX2010,HILLIARD/NC8248-1,+,105,95,111,1
2021,Kinston,K21_SunRil_106,2.7.2,90,UX2010,HILLIARD/NC8248-1,+,106,90,104,1
2021,Kinston,K21_SunRil_107,2.7.3,TX12D4896,UX2012,Parent,+,107,90,103,1
2021,Kinston,K21_SunRil_108,2.7.4,Hilliard,UX2012,Parent,+,108,90,103,1
2021,Kinston,K21_SunRil_109,2.8.1,211,UX2012,TX12D4896/HILLIARD,+,109,90,106,1
2021,Kinston,K21_SunRil_110,2.8.2,213,UX2012,TX12D4896/HILLIARD,+,110,85,103,1
2021,Kinston,K21_SunRil_111,2.8.3,214,UX2012,TX12D4896/HILLIARD,+,111,95,102,1
2021,Kinston,K21_SunRil_112,2.8.4,215,UX2012,TX12D4896/HILLIARD,+,112,87.5,106,1
2021,Kinston,K21_SunRil_113,2.9.1,217,UX2012,TX12D4896/HILLIARD,+,113,95,102,1
2021,Kinston,K21_SunRil_114,2.9.2,218,UX2012,TX12D4896/HILLIARD,+,114,97.5,107,1
2021,Kinston,K21_SunRil_115,2.9.3,219,UX2012,TX12D4896/HILLIARD,+,115,90,106,1
2021,Kinston,K21_SunRil_116,2.9.4,220,UX2012,TX12D4896/HILLIARD,+,116,92.5,101,1
2021,Kinston,K21_SunRil_117,2.10.1,221,UX2012,TX12D4896/HILLIARD,+,117,105,106,1
2021,Kinston,K21_SunRil_118,2.10.2,222,UX2012,TX12D4896/HILLIARD,+,118,95,102,1
2021,Kinston,K21_SunRil_119,2.10.3,223,UX2012,TX12D4896/HILLIARD,+,119,100,103,1
2021,Kinston,K21_SunRil_120,2.10.4,224,UX2012,TX12D4896/HILLIARD,+,120,97.5,104,1
2021,Kinston,K21_SunRil_121,2.11.1,226,UX2012,TX12D4896/HILLIARD,+,121,95,102,1
2021,Kinston,K21_SunRil_122,2.11.2,229,UX2012,TX12D4896/HILLIARD,+,122,87.5,101,1
2021,Kinston,K21_SunRil_123,2.11.3,231,UX2012,TX12D4896/HILLIARD,+,123,87.5,107,1
2021,Kinston,K21_SunRil_124,2.11.4,233,UX2012,TX12D4896/HILLIARD,+,124,92.5,103,1
2021,Kinston,K21_SunRil_125,2.12.1,232,UX2012,TX12D4896/HILLIARD,+,125,95,104,1
2021,Kinston,K21_SunRil_126,2.12.2,234,UX2012,TX12D4896/HILLIARD,+,126,92.5,105,1
2021,Kinston,K21_SunRil_127,2.12.3,235,UX2012,TX12D4896/HILLIARD,+,127,97.5,103,1
2021,Kinston,K21_SunRil_128,2.12.4,236,UX2012,TX12D4896/HILLIARD,+,128,102.5,103,1
2021,Kinston,K21_SunRil_129,2.13.1,238,UX2012,TX12D4896/HILLIARD,+,129,97.5,100,1
2021,Kinston,K21_SunRil_130,2.13.2,239,UX2012,TX12D4896/HILLIARD,+,130,92.5,106,1
2021,Kinston,K21_SunRil_131,2.13.3,241,UX2012,TX12D4896/HILLIARD,+,131,90,102,1
2021,Kinston,K21_SunRil_132,2.13.4,242,UX2012,TX12D4896/HILLIARD,+,132,87.5,105,1
2021,Kinston,K21_SunRil_133,2.14.1,243,UX2012,TX12D4896/HILLIARD,+,133,95,101,1
2021,Kinston,K21_SunRil_134,2.14.2,245,UX2012,TX12D4896/HILLIARD,+,134,107.5,104,1
2021,Kinston,K21_SunRil_135,2.14.3,Hilliard,UX2013,Parent,+,135,90,104,1
2021,Kinston,K21_SunRil_136,2.14.4,GA00190-7A14,UX2013,Parent,+,136,100,103,1
2021,Kinston,K21_SunRil_137,2.15.1,72,UX2013,HILLIARD/GA00190-7A14,+,137,90,101,1
2021,Kinston,K21_SunRil_138,2.15.2,74,UX2013,HILLIARD/GA00190-7A14,+,138,95,105,1
2021,Kinston,K21_SunRil_139,2.15.3,75,UX2013,HILLIARD/GA00190-7A14,+,139,95,102,1
2021,Kinston,K21_SunRil_140,2.15.4,76,UX2013,HILLIARD/GA00190-7A14,+,140,105,105,1
2021,Kinston,K21_SunRil_141,2.16.1,77,UX2013,HILLIARD/GA00190-7A14,+,141,107.5,102,1
2021,Kinston,K21_SunRil_142,2.16.2,78,UX2013,HILLIARD/GA00190-7A14,+,142,107.5,101,1
2021,Kinston,K21_SunRil_143,2.16.3,79,UX2013,HILLIARD/GA00190-7A14,+,143,100,102,1
2021,Kinston,K21_SunRil_144,2.16.4,80,UX2013,HILLIARD/GA00190-7A14,+,144,100,100,1
2021,Kinston,K21_SunRil_145,2.17.1,85,UX2013,HILLIARD/GA00190-7A14,+,145,117.5,104,1
2021,Kinston,K21_SunRil_146,2.17.2,87,UX2013,HILLIARD/GA00190-7A14,+,146,102.5,105,1
2021,Kinston,K21_SunRil_147,2.17.3,94,UX2013,HILLIARD/GA00190-7A14,+,147,102.5,103,1
2021,Kinston,K21_SunRil_148,2.17.4,101,UX2013,HILLIARD/GA00190-7A14,+,148,105,103,1
2021,Kinston,K21_SunRil_149,2.18.1,102,UX2013,HILLIARD/GA00190-7A14,+,149,105,104,1
2021,Kinston,K21_SunRil_150,2.18.2,104,UX2013,HILLIARD/GA00190-7A14,+,150,97.5,103,1
2021,Kinston,K21_SunRil_151,2.18.3,106,UX2013,HILLIARD/GA00190-7A14,+,151,102.5,103,1
2021,Kinston,K21_SunRil_152,2.18.4,107,UX2013,HILLIARD/GA00190-7A14,+,152,105,103,1
2021,Kinston,K21_SunRil_153,2.19.1,108,UX2013,HILLIARD/GA00190-7A14,+,153,100,101,1
2021,Kinston,K21_SunRil_154,2.19.2,109,UX2013,HILLIARD/GA00190-7A14,+,154,110,104,1
2021,Kinston,K21_SunRil_155,2.19.3,111,UX2013,HILLIARD/GA00190-7A14,+,155,92.5,102,1
2021,Kinston,K21_SunRil_156,2.19.4,112,UX2013,HILLIARD/GA00190-7A14,+,156,95,102,1
2021,Kinston,K21_SunRil_157,2.20.1,113,UX2013,HILLIARD/GA00190-7A14,+,157,105,102,1
2021,Kinston,K21_SunRil_158,2.20.2,115,UX2013,HILLIARD/GA00190-7A14,+,158,95,100,1
2021,Kinston,K21_SunRil_159,2.20.3,116,UX2013,HILLIARD/GA00190-7A14,+,159,97.5,102,1
2021,Kinston,K21_SunRil_160,2.20.4,117,UX2013,HILLIARD/GA00190-7A14,+,160,107.5,100,1
2021,Kinston,K21_SunRil_161,3.1.1,Barley,UX2013,Marker,+,161,,-36525,1
2021,Kinston,K21_SunRil_162,3.1.2,118,UX2013,HILLIARD/GA00190-7A14,+,162,95,103,1
2021,Kinston,K21_SunRil_163,3.1.3,119,UX2013,HILLIARD/GA00190-7A14,+,163,105,104,1
2021,Kinston,K21_SunRil_164,3.1.4,122,UX2013,HILLIARD/GA00190-7A14,+,164,105,104,1
2021,Kinston,K21_SunRil_165,3.2.1,123,UX2013,HILLIARD/GA00190-7A14,+,165,102.5,100,1
2021,Kinston,K21_SunRil_166,3.2.2,124,UX2013,HILLIARD/GA00190-7A14,+,166,100,103,1
2021,Kinston,K21_SunRil_167,3.2.3,125,UX2013,HILLIARD/GA00190-7A14,+,167,97.5,104,1
2021,Kinston,K21_SunRil_168,3.2.4,127,UX2013,HILLIARD/GA00190-7A14,+,168,110,105,1
2021,Kinston,K21_SunRil_169,3.3.1,128,UX2013,HILLIARD/GA00190-7A14,+,169,102.5,103,1
2021,Kinston,K21_SunRil_170,3.3.2,131,UX2013,HILLIARD/GA00190-7A14,+,170,95,104,1
2021,Kinston,K21_SunRil_171,3.3.3,132,UX2013,HILLIARD/GA00190-7A14,+,171,102.5,104,1
2021,Kinston,K21_SunRil_172,3.3.4,133,UX2013,HILLIARD/GA00190-7A14,+,172,97.5,104,1
2021,Kinston,K21_SunRil_173,3.4.1,135,UX2013,HILLIARD/GA00190-7A14,+,173,95,104,1
2021,Kinston,K21_SunRil_174,3.4.2,137,UX2013,HILLIARD/GA00190-7A14,+,174,102.5,104,1
2021,Kinston,K21_SunRil_175,3.4.3,138,UX2013,HILLIARD/GA00190-7A14,+,175,97.5,105,1
2021,Kinston,K21_SunRil_176,3.4.4,139,UX2013,HILLIARD/GA00190-7A14,+,176,102.5,105,1
2021,Kinston,K21_SunRil_177,3.5.1,141,UX2013,HILLIARD/GA00190-7A14,+,177,100,104,1
2021,Kinston,K21_SunRil_178,3.5.2,142,UX2013,HILLIARD/GA00190-7A14,+,178,105,101,1
2021,Kinston,K21_SunRil_179,3.5.3,162,UX2013,HILLIARD/GA00190-7A14,+,179,102.5,102,1
2021,Kinston,K21_SunRil_180,3.5.4,165,UX2013,HILLIARD/GA00190-7A14,+,180,100,104,1
2021,Kinston,K21_SunRil_181,3.6.1,Hilliard,UX2023,Parent,+,181,95,104,1
2021,Kinston,K21_SunRil_182,3.6.2,AGS2000,UX2023,AGS2000/HILLIARD,+,182,100,96,1
2021,Kinston,K21_SunRil_183,3.6.3,30,UX2023,AGS2000/HILLIARD,+,183,95,96,1
2021,Kinston,K21_SunRil_184,3.6.4,89,UX2023,AGS2000/HILLIARD,+,184,87.5,103,1
2021,Kinston,K21_SunRil_185,3.7.1,90,UX2023,AGS2000/HILLIARD,+,185,102.5,105,1
2021,Kinston,K21_SunRil_186,3.7.2,91,UX2023,AGS2000/HILLIARD,+,186,100,96,1
2021,Kinston,K21_SunRil_187,3.7.3,92,UX2023,AGS2000/HILLIARD,+,187,97.5,102,1
2021,Kinston,K21_SunRil_188,3.7.4,93,UX2023,AGS2000/HILLIARD,+,188,95,96,1
2021,Kinston,K21_SunRil_189,3.8.1,94,UX2023,AGS2000/HILLIARD,+,189,100,105,1
2021,Kinston,K21_SunRil_190,3.8.2,95,UX2023,AGS2000/HILLIARD,+,190,107.5,107,1
2021,Kinston,K21_SunRil_191,3.8.3,96,UX2023,AGS2000/HILLIARD,+,191,97.5,105,1
2021,Kinston,K21_SunRil_192,3.8.4,98,UX2023,AGS2000/HILLIARD,+,192,92.5,103,1
2021,Kinston,K21_SunRil_193,3.9.1,99,UX2023,AGS2000/HILLIARD,+,193,102.5,98,1
2021,Kinston,K21_SunRil_194,3.9.2,100,UX2023,AGS2000/HILLIARD,+,194,105,106,1
2021,Kinston,K21_SunRil_195,3.9.3,101,UX2023,AGS2000/HILLIARD,+,195,105,103,1
2021,Kinston,K21_SunRil_196,3.9.4,102,UX2023,AGS2000/HILLIARD,+,196,95,102,1
2021,Kinston,K21_SunRil_197,3.10.1,103,UX2023,AGS2000/HILLIARD,+,197,105,99,1
2021,Kinston,K21_SunRil_198,3.10.2,104,UX2023,AGS2000/HILLIARD,+,198,100,102,1
2021,Kinston,K21_SunRil_199,3.10.3,106,UX2023,AGS2000/HILLIARD,+,199,102.5,105,1
2021,Kinston,K21_SunRil_200,3.10.4,110,UX2023,AGS2000/HILLIARD,+,200,85,96,1
2021,Kinston,K21_SunRil_201,3.11.1,114,UX2023,AGS2000/HILLIARD,+,201,92.5,104,1
2021,Kinston,K21_SunRil_202,3.11.2,115,UX2023,AGS2000/HILLIARD,+,202,97.5,104,1
2021,Kinston,K21_SunRil_203,3.11.3,117,UX2023,AGS2000/HILLIARD,+,203,92.5,102,1
2021,Kinston,K21_SunRil_204,3.11.4,118,UX2023,AGS2000/HILLIARD,+,204,110,104,1
2021,Kinston,K21_SunRil_205,3.12.1,119,UX2023,AGS2000/HILLIARD,+,205,95,108,1
2021,Kinston,K21_SunRil_206,3.12.2,124,UX2023,AGS2000/HILLIARD,+,206,97.5,105,1
2021,Kinston,K21_SunRil_207,3.12.3,125,UX2023,AGS2000/HILLIARD,+,207,92.5,104,1
2021,Kinston,K21_SunRil_208,3.12.4,Hilliard,UX2026,Parent,+,208,90,105,1
2021,Kinston,K21_SunRil_209,3.13.1,ARGA051160-14LE31,UX2026,ARGA051160-14LE31/HILLIARD,-,209,97.5,104,0
2021,Kinston,K21_SunRil_210,3.13.2,212,UX2026,ARGA051160-14LE31/HILLIARD,+,210,100,103,1
2021,Kinston,K21_SunRil_211,3.13.3,213,UX2026,ARGA051160-14LE31/HILLIARD,-,211,95,103,1
2021,Kinston,K21_SunRil_212,3.13.4,218,UX2026,ARGA051160-14LE31/HILLIARD,+,212,90,101,1
2021,Kinston,K21_SunRil_213,3.14.1,220,UX2026,ARGA051160-14LE31/HILLIARD,+,213,95,101,1
2021,Kinston,K21_SunRil_214,3.14.2,219,UX2026,ARGA051160-14LE31/HILLIARD,+,214,95,107,1
2021,Kinston,K21_SunRil_215,3.14.3,224,UX2026,ARGA051160-14LE31/HILLIARD,-,215,97.5,104,0
2021,Kinston,K21_SunRil_216,3.14.4,226,UX2026,ARGA051160-14LE31/HILLIARD,+,216,92.5,101,1
2021,Kinston,K21_SunRil_217,3.15.1,228,UX2026,ARGA051160-14LE31/HILLIARD,+,217,87.5,102,1
2021,Kinston,K21_SunRil_218,3.15.2,235,UX2026,ARGA051160-14LE31/HILLIARD,+,218,92.5,104,1
2021,Kinston,K21_SunRil_219,3.15.3,236,UX2026,ARGA051160-14LE31/HILLIARD,+,219,95,104,1
2021,Kinston,K21_SunRil_220,3.15.4,237,UX2026,ARGA051160-14LE31/HILLIARD,-,220,92.5,104,0
2021,Kinston,K21_SunRil_221,3.16.1,238,UX2026,ARGA051160-14LE31/HILLIARD,+,221,87.5,100,1
2021,Kinston,K21_SunRil_222,3.16.2,239,UX2026,ARGA051160-14LE31/HILLIARD,-,222,85,105,0
2021,Kinston,K21_SunRil_223,3.16.3,240,UX2026,ARGA051160-14LE31/HILLIARD,-,223,97.5,107,0
2021,Kinston,K21_SunRil_224,3.16.4,241,UX2026,ARGA051160-14LE31/HILLIARD,-,224,85,104,0
2021,Kinston,K21_SunRil_225,3.17.1,242,UX2026,ARGA051160-14LE31/HILLIARD,+,225,100,102,1
2021,Kinston,K21_SunRil_226,3.17.2,243,UX2026,ARGA051160-14LE31/HILLIARD,-,226,92.5,105,0
2021,Kinston,K21_SunRil_227,3.17.3,244,UX2026,ARGA051160-14LE31/HILLIARD,+,227,97.5,101,1
2021,Kinston,K21_SunRil_228,3.17.4,245,UX2026,ARGA051160-14LE31/HILLIARD,+,228,85,102,1
2021,Kinston,K21_SunRil_229,3.18.1,246,UX2026,ARGA051160-14LE31/HILLIARD,+,229,100,102,1
2021,Kinston,K21_SunRil_230,3.18.2,247,UX2026,ARGA051160-14LE31/HILLIARD,+,230,85,102,1
2021,Kinston,K21_SunRil_231,3.18.3,248,UX2026,ARGA051160-14LE31/HILLIARD,+,231,90,104,1
2021,Kinston,K21_SunRil_232,3.18.4,249,UX2026,ARGA051160-14LE31/HILLIARD,-,232,90,103,0
2021,Kinston,K21_SunRil_233,3.19.1,250,UX2026,ARGA051160-14LE31/HILLIARD,+,233,92.5,104,1
2021,Kinston,K21_SunRil_234,3.19.2,251,UX2026,ARGA051160-14LE31/HILLIARD,+,234,85,99,1
2021,Kinston,K21_SunRil_235,3.19.3,252,UX2026,ARGA051160-14LE31/HILLIARD,-,235,95,103,0
2021,Kinston,K21_SunRil_236,3.19.4,253,UX2026,ARGA051160-14LE31/HILLIARD,+,236,90,104,1
2021,Kinston,K21_SunRil_237,3.20.1,254,UX2026,ARGA051160-14LE31/HILLIARD,-,237,95,106,Mix
2021,Kinston,K21_SunRil_238,3.20.2,258,UX2026,ARGA051160-14LE31/HILLIARD,+,238,105,101,1
2021,Kinston,K21_SunRil_239,3.20.3,258,UX2026,ARGA051160-14LE31/HILLIARD,-,239,112.5,104,0
2021,Kinston,K21_SunRil_240,3.20.4,262,UX2026,ARGA051160-14LE31/HILLIARD,-,240,100,104,0
2021,Kinston,K21_SunRil_241,4.1.1,Barley,UX2026,Marker,,241,NA,NA,
2021,Kinston,K21_SunRil_242,4.1.2,265,UX2026,ARGA051160-14LE31/HILLIARD,,242,95,101,0
2021,Kinston,K21_SunRil_243,4.1.3,270,UX2026,ARGA051160-14LE31/HILLIARD,,243,90,102,0
