,,,,,,,,,,,,,Nico tablet,Gina Tablet,,,
Kin22-SunRilHR-33,UX2026,ARGA051160-14LE31/HILLIARD,1.9.1,UX2026-338,*,.,33,1,4/14/2022,104,,,R,,,85,mixed
Kin22-SunRilHR-34,UX2026,ARGA051160-14LE31/HILLIARD,1.9.2,UX2026-196,+,.,34,3,4/11/2022,101,,,R,,,85,+
Kin22-SunRilHR-35,UX2026,ARGA051160-14LE31/HILLIARD,1.9.3,UX2026-156,+,.,35,2,4/7/2022,97,,,R20,,,80,+
Kin22-SunRilHR-36,Parent,Parent,1.9.4,LA09264C-P2,+,R-6.10.1,36,4,3/28/2022,87,,,S,,,70,+
Kin22-SunRilHR-37,UX2026,ARGA051160-14LE31/HILLIARD,1.10.1,UX2026-344,-,.,37,2,4/7/2022,97,,,S,,,70,-
Kin22-SunRilHR-38,Parent,Parent,1.10.2,GA05450-EL52,+,R-10.1.4,38,2,4/5/2022,95,,,R30,,,70,+
Kin22-SunRilHR-39,UX2026,ARGA051160-14LE31/HILLIARD,1.10.3,UX2026-194,+,.,39,3,4/7/2022,97,,,S,,,65,+
Kin22-SunRilHR-40,UX2026,ARGA051160-14LE31/HILLIARD,1.10.4,UX2026-337,+,.,40,2,4/5/2022,95,,,R10,,,85,+
Kin22-SunRilHR-41,UX2026,ARGA051160-14LE31/HILLIARD,1.11.1,UX2026-157,?,.,41,4,4/4/2022,94,,,R10,,,75,-
Kin22-SunRilHR-42,UX2026,ARGA051160-14LE31/HILLIARD,1.11.2,UX2026-336,+,.,42,4,4/5/2022,95,,,S,,,80,+
Kin22-SunRilHR-43,Parent,Parent,1.11.3,GA00190-7A14,+,R-17.20.1,43,3,4/9/2022,99,,,R10,,,85,+
Kin22-SunRilHR-44,UX2026,ARGA051160-14LE31/HILLIARD,1.11.4,UX2026-193,-,.,44,3,4/12/2022,102,,,R,,,75,-
Kin22-SunRilHR-45,Parent,Parent,1.12.1,MPV57,-,R-12.10.1,45,2,4/13/2022,103,,,R10,,,65,-
Kin22-SunRilHR-46,UX2026,ARGA051160-14LE31/HILLIARD,1.12.2,UX2026-192,-,.,46,3,4/7/2022,97,,,S,,,85,-
Kin22-SunRilHR-47,UX2026,ARGA051160-14LE31/HILLIARD,1.12.3,UX2026-314,-,.,47,3,4/8/2022,98,,,S,,,80,-
Kin22-SunRilHR-48,UX2026,ARGA051160-14LE31/HILLIARD,1.12.4,UX2026-158,+,.,48,3,4/5/2022,95,,,S,,,75,+
Kin22-SunRilHR-49,UX2026,ARGA051160-14LE31/HILLIARD,1.13.1,UX2026-343,+,.,49,3,4/6/2022,96,,,R20,,,85,+
Kin22-SunRilHR-50,UX2026,ARGA051160-14LE31/HILLIARD,1.13.2,UX2026-159,+,.,50,3,4/5/2022,95,,,S,,,90,+
Kin22-SunRilHR-51,UX2026,ARGA051160-14LE31/HILLIARD,1.13.3,UX2026-284,+,.,51,2,4/12/2022,102,,,R,,,85,+
Kin22-SunRilHR-52,Parent,Parent,1.13.4,SS8641,-,R-6.11.3,52,3,4/8/2022,98,,,R,,,85,-
Kin22-SunRilHR-53,UX2026,ARGA051160-14LE31/HILLIARD,1.14.1,UX2026-190,+,.,53,3,4/8/2022,98,,,R10,,,80,+
Kin22-SunRilHR-54,Parent,Parent,1.14.2,TX12D4896,+,K-2.7.3,54,4,4/7/2022,97,,,R,,,80,+
Kin22-SunRilHR-55,UX2026,ARGA051160-14LE31/HILLIARD,1.14.3,UX2026-160,-,.,55,1,4/12/2022,102,,,R10,,,80,-
Kin22-SunRilHR-56,UX2026,ARGA051160-14LE31/HILLIARD,1.14.4,UX2026-315,-,.,56,2,4/9/2022,99,,,R,,,80,-
Kin22-SunRilHR-57,UX2026,ARGA051160-14LE31/HILLIARD,1.15.1,UX2026-290,+,.,57,4,4/6/2022,96,,,R,,,85,+
Kin22-SunRilHR-58,UX2026,ARGA051160-14LE31/HILLIARD,1.15.2,UX2026-285,+,.,58,3,4/8/2022,98,,,S,,,90,+
Kin22-SunRilHR-59,Parent,Parent,1.15.3,Hilliard,+,VA-307,59,2,4/12/2022,102,,,R,,,85,+
Kin22-SunRilHR-60,UX2026,ARGA051160-14LE31/HILLIARD,1.15.4,UX2026-171,+,.,60,3,4/12/2022,102,,,S,,,85,+
Kin22-SunRilHR-61,Parent,Parent,1.16.1,AGS2000,+,VA-472,61,4,4/3/2022,93,,,R,,,90,+
Kin22-SunRilHR-62,UX2026,ARGA051160-14LE31/HILLIARD,1.16.2,UX2026-169,+,.,62,2,4/12/2022,102,,,R,,,80,+
Kin22-SunRilHR-63,UX2026,ARGA051160-14LE31/HILLIARD,1.16.3,UX2026-299,-,.,63,3,4/13/2022,103,,,R,,,75,-
Kin22-SunRilHR-64,UX2026,ARGA051160-14LE31/HILLIARD,1.16.4,UX2026-286,+,.,64,3,4/14/2022,104,,,S,,,85,+
Kin22-SunRilHR-65,UX2026,ARGA051160-14LE31/HILLIARD,1.17.1,UX2026-300,-,.,65,3,4/8/2022,98,,,S,,,85,+
Kin22-SunRilHR-66,UX2026,ARGA051160-14LE31/HILLIARD,1.17.2,UX2026-316,+,.,66,3,4/13/2022,103,,,R,,,85,+
Kin22-SunRilHR-67,UX2026,ARGA051160-14LE31/HILLIARD,1.17.3,UX2026-170,+,.,67,3,4/3/2022,93,,,S,,,80,+
Kin22-SunRilHR-68,Parent,Parent,1.17.4,GA001138-8E36,+,K-1.8.4,68,4,4/11/2022,101,,,R,,,95,+
Kin22-SunRilHR-69,UX2026,ARGA051160-14LE31/HILLIARD,1.18.1,UX2026-184,+,.,69,4,4/4/2022,94,,,S,,,95,+
Kin22-SunRilHR-70,Parent,Parent,1.18.2,GA06493-13LE6,+,R-14.18.2,70,2,4/13/2022,103,,,R,,,85,+
Kin22-SunRilHR-71,UX2026,ARGA051160-14LE31/HILLIARD,1.18.3,UX2026-309,+,.,71,3,4/5/2022,95,,,R10,,,85,+
Kin22-SunRilHR-72,UX2026,ARGA051160-14LE31/HILLIARD,1.18.4,UX2026-317,+,.,72,3,4/7/2022,97,,,S,,,90,+
Kin22-SunRilHR-73,UX2026,ARGA051160-14LE31/HILLIARD,1.19.1,UX2026-291,+,.,73,3,4/4/2022,94,,,R,,,85,+
Kin22-SunRilHR-74,UX2026,ARGA051160-14LE31/HILLIARD,1.19.2,UX2026-189,-,.,74,3,4/8/2022,98,,,R10,,,95,-
Kin22-SunRilHR-75,UX2026,ARGA051160-14LE31/HILLIARD,1.19.3,UX2026-342,-,.,75,2,4/13/2022,103,,,R,,,85,-
Kin22-SunRilHR-76,UX2026,ARGA051160-14LE31/HILLIARD,1.19.4,UX2026-182,+,.,76,3,4/10/2022,100,,,S,,,85,+
Kin22-SunRilHR-77,UX2026,ARGA051160-14LE31/HILLIARD,1.20.1,UX2026-181,-,.,77,2,4/10/2022,100,,,R,,,85,-
Kin22-SunRilHR-78,UX2026,ARGA051160-14LE31/HILLIARD,1.20.2,UX2026-293,+,.,78,3,4/12/2022,102,,,S,,,90,+
Kin22-SunRilHR-79,UX2026,ARGA051160-14LE31/HILLIARD,1.20.3,UX2026-292,+,.,79,4,4/5/2022,95,,,R,,,80,+
Kin22-SunRilHR-80,UX2026,ARGA051160-14LE31/HILLIARD,1.20.4,UX2026-187,+,.,80,4,4/3/2022,93,,,R20,,,75,+
Kin22-SunRilHR-81,Marker,Marker,2.1.1,Barley,+,.,81,1,4/23/2022,113,,,,,,,+
Kin22-SunRilHR-82,UX1992,GA06493-13LE6/HILLIARD,2.1.2,UX1992-135,+,.,82,1,4/20/2022,110,,,R,0,1,75,+
Kin22-SunRilHR-83,UX1992,GA06493-13LE6/HILLIARD,2.1.3,UX1992-166,+,.,83,2,4/11/2022,101,,,R,0,0,75,+
Kin22-SunRilHR-84,UX1992,GA06493-13LE6/HILLIARD,2.1.4,UX1992-327,+,.,84,3,4/13/2022,103,,,R20,0,1,85,+
Kin22-SunRilHR-85,UX1992,GA06493-13LE6/HILLIARD,2.2.1,UX1992-302,+,.,85,2,4/12/2022,102,,,R30,30,4,75,+
Kin22-SunRilHR-86,UX1992,GA06493-13LE6/HILLIARD,2.2.2,UX1992-203,+,.,86,1,4/13/2022,103,,,R,5,0,85,+
Kin22-SunRilHR-87,UX1992,GA06493-13LE6/HILLIARD,2.2.3,UX1992-310,+,.,87,1,4/14/2022,104,,,R,0,0,85,+
Kin22-SunRilHR-88,UX1992,GA06493-13LE6/HILLIARD,2.2.4,UX1992-287,+,.,88,2,4/13/2022,103,,,R,5,2,80,+
Kin22-SunRilHR-89,UX1992,GA06493-13LE6/HILLIARD,2.3.1,UX1992-201,+,.,89,3,4/5/2022,95,,,S,20,3,95,+
Kin22-SunRilHR-90,UX1992,GA06493-13LE6/HILLIARD,2.3.2,UX1992-239,+,.,90,3,4/15/2022,105,,,R,5,0,85,+
Kin22-SunRilHR-91,UX1992,GA06493-13LE6/HILLIARD,2.3.3,UX1992-59,+,.,91,2,4/13/2022,103,,,R,5,4,65,+
Kin22-SunRilHR-92,Parent,Parent,2.3.4,LA09264C-P2,+,R-6.10.1,92,4,3/28/2022,87,,,S,40,0,70,+
Kin22-SunRilHR-93,Parent,Parent,2.4.1,GA06493-13LE6,+,R-14.18.2,93,2,4/14/2022,104,,,R,0,0,80,+
Kin22-SunRilHR-94,UX1992,GA06493-13LE6/HILLIARD,2.4.2,UX1992-196,+,.,94,2,4/13/2022,103,,,R,R,0,75,+
Kin22-SunRilHR-95,UX1992,GA06493-13LE6/HILLIARD,2.4.3,UX1992-317,+,.,95,1,4/18/2022,108,,,R,R,0,80,+
Kin22-SunRilHR-96,UX1992,GA06493-13LE6/HILLIARD,2.4.4,UX1992-80,+,.,96,1,4/15/2022,105,,,R,5,1,80,+
Kin22-SunRilHR-97,UX1992,GA06493-13LE6/HILLIARD,2.5.1,UX1992-232,+,.,97,3,4/13/2022,103,,,R,5,1,80,+
Kin22-SunRilHR-98,UX1992,GA06493-13LE6/HILLIARD,2.5.2,UX1992-289,+,.,98,2,4/11/2022,101,,,R,R,2,75,+
Kin22-SunRilHR-99,Parent,Parent,2.5.3,Hilliard,+,VA-307,99,1,4/12/2022,102,,,R,0,0,75,+
Kin22-SunRilHR-100,UX1992,GA06493-13LE6/HILLIARD,2.5.4,UX1992-293,+,.,100,2,4/14/2022,104,,,R,R,1,85,+
Kin22-SunRilHR-101,UX1992,GA06493-13LE6/HILLIARD,2.6.1,UX1992-195,+,.,101,2,4/13/2022,103,,,R,R,0,80,+
Kin22-SunRilHR-102,Parent,Parent,2.6.2,ARGA051160-14LE31,-,VA-510,102,2,4/12/2022,102,,,R,R,1,90,-
Kin22-SunRilHR-103,UX1992,GA06493-13LE6/HILLIARD,2.6.3,UX1992-100,+,.,103,1,4/15/2022,105,,,R,5,3,75,+
Kin22-SunRilHR-104,UX1992,GA06493-13LE6/HILLIARD,2.6.4,UX1992-218,+,.,104,3,4/6/2022,96,,,R,5,0,90,+
Kin22-SunRilHR-105,UX1992,GA06493-13LE6/HILLIARD,2.7.1,UX1992-295,+,.,105,2,4/12/2022,102,,,R,0,2,80,+
Kin22-SunRilHR-106,UX1992,GA06493-13LE6/HILLIARD,2.7.2,UX1992-24,+,.,106,3,4/5/2022,95,,,R,10,0,75,+
Kin22-SunRilHR-107,UX1992,GA06493-13LE6/HILLIARD,2.7.3,UX1992-282,+,.,107,2,4/8/2022,98,,,R,0,0,75,+
Kin22-SunRilHR-108,UX1992,GA06493-13LE6/HILLIARD,2.7.4,UX1992-296,+,.,108,1,4/15/2022,105,,,R,5,0,80,+
Kin22-SunRilHR-109,Parent,Parent,2.8.1,GA05450-EL52,+,R-10.1.4,109,3,4/4/2022,94,,,R10,5,2,75,+
Kin22-SunRilHR-110,UX1992,GA06493-13LE6/HILLIARD,2.8.2,UX1992-303,+,.,110,2,4/12/2022,102,,,R20,5,0,65,+
Kin22-SunRilHR-111,UX1992,GA06493-13LE6/HILLIARD,2.8.3,UX1992-78,+,.,111,1,4/19/2022,109,,,R20,R,1,75,+
Kin22-SunRilHR-112,UX1992,GA06493-13LE6/HILLIARD,2.8.4,UX1992-242,+,.,112,2,4/14/2022,104,,,R,5,1,80,+
Kin22-SunRilHR-113,UX1992,GA06493-13LE6/HILLIARD,2.9.1,UX1992-70,+,.,113,2,4/13/2022,103,,,R,R,2,75,+
Kin22-SunRilHR-114,Parent,Parent,2.9.2,TX12D4896,+,K-2.7.3,114,3,4/9/2022,99,,,R,0,1,85,+
Kin22-SunRilHR-115,UX1992,GA06493-13LE6/HILLIARD,2.9.3,UX1992-225,+,.,115,2,4/12/2022,102,,,R,5,0,85,+
Kin22-SunRilHR-116,UX1992,GA06493-13LE6/HILLIARD,2.9.4,UX1992-322,+,.,116,1,4/15/2022,105,,,R,5,0,80,+
Kin22-SunRilHR-117,UX1992,GA06493-13LE6/HILLIARD,2.10.1,UX1992-223,+,.,117,2,4/9/2022,99,,,R20,35,0,80,+
Kin22-SunRilHR-118,UX1992,GA06493-13LE6/HILLIARD,2.10.2,UX1992-281,+,.,118,1,4/15/2022,105,,,R,5,0,85,+
Kin22-SunRilHR-119,UX1992,GA06493-13LE6/HILLIARD,2.10.3,UX1992-72,+,.,119,1,4/14/2022,104,,,R,0,0,80,+
Kin22-SunRilHR-120,UX1992,GA06493-13LE6/HILLIARD,2.10.4,UX1992-308,+,.,120,3,4/9/2022,99,,,R,0,3,80,+
Kin22-SunRilHR-121,UX1992,GA06493-13LE6/HILLIARD,2.11.1,UX1992-182,+,.,121,1,4/15/2022,105,,,R,R,3,85,+
Kin22-SunRilHR-122,UX1992,GA06493-13LE6/HILLIARD,2.11.2,UX1992-314,+,.,122,1,4/15/2022,105,,,R,0,2,75,+
Kin22-SunRilHR-123,UX1992,GA06493-13LE6/HILLIARD,2.11.3,UX1992-38,+,.,123,2,4/15/2022,105,,,R,5,2,80,+
Kin22-SunRilHR-124,UX1992,GA06493-13LE6/HILLIARD,2.11.4,UX1992-9,+,.,124,3,4/6/2022,96,,,R10,15,0,75,+
Kin22-SunRilHR-125,UX1992,GA06493-13LE6/HILLIARD,2.12.1,UX1992-6,+,.,125,2,4/15/2022,105,,,R10,10,0,80,+
Kin22-SunRilHR-126,Parent,Parent,2.12.2,GA001138-8E36,+,K-1.8.4,126,4,4/11/2022,101,,,R,0,0,95,+
Kin22-SunRilHR-127,UX1992,GA06493-13LE6/HILLIARD,2.12.3,UX1992-323,+,.,127,2,4/15/2022,105,,,R,0,0,85,+
Kin22-SunRilHR-128,UX1992,GA06493-13LE6/HILLIARD,2.12.4,UX1992-306,+,.,128,2,4/18/2022,108,,,R,R,0,80,+
Kin22-SunRilHR-129,UX1992,GA06493-13LE6/HILLIARD,2.13.1,UX1992-231,+,.,129,2,4/14/2022,104,,,R,R,0,85,+
Kin22-SunRilHR-130,UX1992,GA06493-13LE6/HILLIARD,2.13.2,UX1992-147,+,.,130,2,4/14/2022,104,,,R,5,0,75,+
Kin22-SunRilHR-131,Parent,Parent,2.13.3,NC8248-1,+,VA-267,131,4,4/1/2022,91,,,R,20,1,80,+
Kin22-SunRilHR-132,UX1992,GA06493-13LE6/HILLIARD,2.13.4,UX1992-312,+,.,132,3,4/14/2022,104,,,R,0,2,90,+
Kin22-SunRilHR-133,UX1992,GA06493-13LE6/HILLIARD,2.14.1,UX1992-286,+,.,133,3,4/8/2022,98,,,R,5,1,75,+
Kin22-SunRilHR-134,UX1992,GA06493-13LE6/HILLIARD,2.14.2,UX1992-331,+,.,134,2,4/9/2022,99,,,R,R,0,80,+
Kin22-SunRilHR-135,UX1992,GA06493-13LE6/HILLIARD,2.14.3,UX1992-55,+,.,135,1,4/13/2022,103,,,R,R,0,80,+
Kin22-SunRilHR-136,Parent,Parent,2.14.4,SS8641,-,R-6.11.3,136,3,4/11/2022,101,,,R,0,0,90,-
Kin22-SunRilHR-137,UX1992,GA06493-13LE6/HILLIARD,2.15.1,UX1992-219,+,.,137,3,4/12/2022,102,,,R10,5,0,75,+
Kin22-SunRilHR-138,UX1992,GA06493-13LE6/HILLIARD,2.15.2,UX1992-22,+,.,138,1,4/19/2022,109,,,R,10,2,80,+
Kin22-SunRilHR-139,UX1992,GA06493-13LE6/HILLIARD,2.15.3,UX1992-228,+,.,139,2,4/14/2022,104,,,R,R,0,75,+
Kin22-SunRilHR-140,UX1992,GA06493-13LE6/HILLIARD,2.15.4,UX1992-315,+,.,140,1,4/20/2022,110,,,R,0,0,85,+
Kin22-SunRilHR-141,UX1992,GA06493-13LE6/HILLIARD,2.16.1,UX1992-87,+,.,141,2,4/15/2022,105,,,R,R,0,75,+
Kin22-SunRilHR-142,UX1992,GA06493-13LE6/HILLIARD,2.16.2,UX1992-239,+,.,142,3,4/11/2022,101,,,R,0,0,85,+
Kin22-SunRilHR-143,Parent,Parent,2.16.3,GA00190-7A14,+,R-17.20.1,143,3,4/9/2022,99,,,R,5,0,80,+
Kin22-SunRilHR-144,UX1992,GA06493-13LE6/HILLIARD,2.16.4,UX1992-45,+,.,144,2,4/15/2022,105,,,R,0,1,80,+
Kin22-SunRilHR-145,UX1992,GA06493-13LE6/HILLIARD,2.17.1,UX1992-224,+,.,145,2,4/13/2022,103,,,R10,10,0,75,+
Kin22-SunRilHR-146,Parent,Parent,2.17.2,NC08-23383,-,R-2.1.2,146,3,4/14/2022,104,,,R,0,0,75,-
Kin22-SunRilHR-147,UX1992,GA06493-13LE6/HILLIARD,2.17.3,UX1992-292,+,.,147,3,4/8/2022,98,,,R10,10,0,75,+
Kin22-SunRilHR-148,UX1992,GA06493-13LE6/HILLIARD,2.17.4,UX1992-226,+,.,148,3,4/13/2022,103,,,R,R,1,95,+
Kin22-SunRilHR-149,UX1992,GA06493-13LE6/HILLIARD,2.18.1,UX1992-222,+,.,149,3,4/14/2022,104,,,R,10,0,70,+
Kin22-SunRilHR-150,UX1992,GA06493-13LE6/HILLIARD,2.18.2,UX1992-154,+,.,150,2,4/15/2022,105,,,R,0,0,75,+
Kin22-SunRilHR-151,UX1992,GA06493-13LE6/HILLIARD,2.18.3,UX1992-194,+,.,151,1,4/22/2022,112,,,R,,0,70,+
Kin22-SunRilHR-152,Parent,Parent,2.18.4,MPV57,-,R-12.10.1,152,2,4/13/2022,103,,,R,,1,65,-
Kin22-SunRilHR-153,UX1992,GA06493-13LE6/HILLIARD,2.19.1,UX1992-275,+,.,153,2,4/15/2022,105,,,R10,,1,75,+
Kin22-SunRilHR-154,UX1992,GA06493-13LE6/HILLIARD,2.19.2,UX1992-336,+,.,154,3,4/13/2022,103,,,R10,,1,80,+
Kin22-SunRilHR-155,UX1992,GA06493-13LE6/HILLIARD,2.19.3,UX1992-241,+,.,155,4,4/8/2022,98,,,R10,,1,75,+
Kin22-SunRilHR-156,UX1992,GA06493-13LE6/HILLIARD,2.19.4,UX1992-337,+,.,156,2,4/15/2022,105,,,R,,0,75,+
Kin22-SunRilHR-157,Parent,Parent,2.20.1,AGS2000,+,VA-472,157,4,4/3/2022,93,,,R,,0,85,+
Kin22-SunRilHR-158,UX1992,GA06493-13LE6/HILLIARD,2.20.2,UX1992-157,+,.,158,2,4/14/2022,104,,,R20,,1,85,+
Kin22-SunRilHR-159,UX1992,GA06493-13LE6/HILLIARD,2.20.3,UX1992-217,+,.,159,2,4/14/2022,104,,,30,,1,90,+
Kin22-SunRilHR-160,UX1992,GA06493-13LE6/HILLIARD,2.20.4,UX1992-276,+,.,160,2,4/18/2022,108,,,R10,,0,85,+
Kin22-SunRilHR-161,Marker,Marker,3.1.1,Barley,+,.,161,1,4/18/2022,108,,,,,,,+
Kin22-SunRilHR-162,UX2023,AGS2000/HILLIARD,3.1.2,UX2023-87,+,.,162,1,4/14/2022,104,,,R,0,0,80,+
Kin22-SunRilHR-163,UX2023,AGS2000/HILLIARD,3.1.3,UX2023-16,+,.,163,4,3/26/2022,85,,,S,10,1,80,+
Kin22-SunRilHR-164,UX2023,AGS2000/HILLIARD,3.1.4,UX2023-106,+,.,164,2,4/11/2022,101,,,R,R,0,85,+
Kin22-SunRilHR-165,UX2023,AGS2000/HILLIARD,3.2.1,UX2023-12,+,.,165,2,4/12/2022,102,,,S,50,2,90,+
Kin22-SunRilHR-166,UX2023,AGS2000/HILLIARD,3.2.2,UX2023-93,+,.,166,4,3/27/2022,86,,,S,25,1,75,+
Kin22-SunRilHR-167,Parent,Parent,3.2.3,GA00190-7A14,+,VA-368,167,3,4/4/2022,94,,,R10,R,1,80,+
Kin22-SunRilHR-168,UX2023,AGS2000/HILLIARD,3.2.4,UX2023-17,+,.,168,4,3/28/2022,87,,,R,10,1,95,+
Kin22-SunRilHR-169,UX2023,AGS2000/HILLIARD,3.3.1,UX2023-115,+,.,169,2,4/12/2022,102,,,R20,10,1,85,+
Kin22-SunRilHR-170,UX2023,AGS2000/HILLIARD,3.3.2,UX2023-92,+,.,170,1,4/10/2022,100,,,S,20,0,75,+
Kin22-SunRilHR-171,UX2023,AGS2000/HILLIARD,3.3.3,UX2023-66,+,.,171,2,4/12/2022,102,,,R,R,0,90,+
Kin22-SunRilHR-172,UX2023,AGS2000/HILLIARD,3.3.4,UX2023-124,+,.,172,2,4/12/2022,102,,,R,R,0,95,+
Kin22-SunRilHR-173,UX2023,AGS2000/HILLIARD,3.4.1,UX2023-91,+,.,173,3,3/30/2022,89,,,R,15,1,75,+
Kin22-SunRilHR-174,UX2023,AGS2000/HILLIARD,3.4.2,UX2023-68,+,.,174,1,4/10/2022,100,,,R20,5,1,75,+
Kin22-SunRilHR-175,Parent,Parent,3.4.3,GA06493-13LE6,+,GA-81738,175,2,4/13/2022,103,,,R,0,0,90,+
Kin22-SunRilHR-176,UX2023,AGS2000/HILLIARD,3.4.4,UX2023-20,+,.,176,2,4/13/2022,103,,,R,R,0,90,+
Kin22-SunRilHR-177,UX2023,AGS2000/HILLIARD,3.5.1,UX2023-72,+,.,177,3,4/9/2022,99,,,R,R,1,85,+
Kin22-SunRilHR-178,Parent,Parent,3.5.2,NC8248-1,+,R-5.1.4,178,3,4/1/2022,91,,,R,15,0,85,+
Kin22-SunRilHR-179,UX2023,AGS2000/HILLIARD,3.5.3,UX2023-14,+,.,179,4,3/27/2022,86,,,S,20,1,85,+
Kin22-SunRilHR-180,UX2023,AGS2000/HILLIARD,3.5.4,UX2023-95,+,.,180,2,4/15/2022,105,,,R,0,0,100,+
Kin22-SunRilHR-181,UX2023,AGS2000/HILLIARD,3.6.1,UX2023-100,+,.,181,2,4/14/2022,104,,,R,0,,95,+
