"Entry","Awns","WDR","Powdery_mildew","SNB","Height","Rust","ave_SpS","ave_infert","WeightOf1000Particles","SampleAreaAverage","WKAreaMedian","days_to_head","seeds_per_spikelet"
"UX1989-103",1,4,NA,3,85,NA,NA,NA,NA,NA,NA,156,NA
"UX1989-104",1,4,1,3,80,NA,NA,NA,NA,NA,NA,156,NA
"UX1989-106",1,2,NA,3,90,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-107",1,2,NA,NA,75,NA,NA,NA,NA,NA,NA,155,NA
"UX1989-108",1,3,NA,5,80,NA,NA,NA,NA,NA,NA,157,NA
"UX1989-109",1,2,NA,3,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-110",1,4,NA,2,75,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-111",1,2,NA,4,80,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-112",1,2,NA,3,90,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-113",1,3,0,4,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-114",1,4,NA,3,75,NA,NA,NA,NA,NA,NA,157,NA
"UX1989-115",1,2,NA,2,85,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-116",1,3,NA,3,75,NA,NA,NA,NA,NA,NA,158,NA
"UX1989-117",1,4,NA,3,80,NA,NA,NA,NA,NA,NA,156,NA
"UX1989-118",1,4,NA,3,80,NA,NA,NA,NA,NA,NA,155,NA
"UX1989-119",1,4,NA,NA,80,NA,NA,NA,NA,NA,NA,154,NA
"UX1989-12",1,2,0,2,85,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-122",1,4,NA,4,80,NA,NA,NA,NA,NA,NA,153,NA
"UX1989-123",1,3,NA,NA,85,NA,NA,NA,NA,NA,NA,157,NA
"UX1989-125",1,3,NA,4,80,NA,NA,NA,NA,NA,NA,161,NA
"UX1989-126",1,3,NA,NA,85,NA,NA,NA,NA,NA,NA,157,NA
"UX1989-128",1,3,NA,2,80,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-129",1,4,NA,3,80,NA,NA,NA,NA,NA,NA,163,NA
"UX1989-13",1,1,NA,4,75,NA,NA,NA,NA,NA,NA,161,NA
"UX1989-131",1,3,NA,2,85,NA,NA,NA,NA,NA,NA,158,NA
"UX1989-132",1,3,NA,2,75,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-133",1,3,NA,NA,90,NA,NA,NA,NA,NA,NA,156,NA
"UX1989-134",1,4,2,5,75,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-135",1,3,NA,3,85,NA,NA,NA,NA,NA,NA,157,NA
"UX1989-136",1,3,NA,2,90,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-137",1,3,NA,3,80,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-138",1,2,NA,4,85,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-139",1,3,NA,3,85,NA,NA,NA,NA,NA,NA,158,NA
"UX1989-14",1,2,NA,4,85,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-140",1,3,NA,3,85,NA,NA,NA,NA,NA,NA,156,NA
"UX1989-141",1,3,NA,3,80,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-142",1,2,NA,3,85,NA,NA,NA,NA,NA,NA,163,NA
"UX1989-143",1,3,NA,NA,90,NA,NA,NA,NA,NA,NA,156,NA
"UX1989-144",1,2,NA,NA,85,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-146",1,2,NA,NA,80,NA,NA,NA,NA,NA,NA,158,NA
"UX1989-147",1,4,NA,2,80,NA,NA,NA,NA,NA,NA,158,NA
"UX1989-148",1,3,NA,3,70,NA,NA,NA,NA,NA,NA,158,NA
"UX1989-15",1,2,NA,3,90,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-16",1,2,NA,5,80,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-17",1,2,NA,6,90,NA,NA,NA,NA,NA,NA,162,NA
"UX1989-18",1,2,NA,5,80,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-19",1,1,NA,4,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-2",1,2,NA,4,85,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-20",1,2,NA,5,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-21",1,2,1,5,75,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-22",1,3,NA,5,80,NA,NA,NA,NA,NA,NA,156,NA
"UX1989-23",1,2,NA,2,90,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-24",1,3,0,3,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-25",1,2,NA,4,90,NA,NA,NA,NA,NA,NA,158,NA
"UX1989-26",1,3,NA,4,80,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-27",1,2,2,3,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-28",1,2,NA,3,90,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-29",1,2,NA,3,90,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-3",1,2,NA,4,80,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-30",1,3,NA,4,90,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-31",1,2,NA,4,85,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-32",1,2,NA,4,75,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-33",1,3,0,3,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-34",1,2,0,3,90,NA,NA,NA,NA,NA,NA,157,NA
"UX1989-35",1,2,NA,4,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-37",1,3,NA,4,80,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-38",1,2,NA,4,80,NA,NA,NA,NA,NA,NA,158,NA
"UX1989-39",1,1,NA,4,80,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-4",1,1,NA,5,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-40",1,3,NA,3,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-41",1,2,NA,3,90,NA,NA,NA,NA,NA,NA,161,NA
"UX1989-42",1,2,NA,4,75,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-43",1,2,NA,2,75,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-44",1,2,NA,5,90,NA,NA,NA,NA,NA,NA,163,NA
"UX1989-45",1,2,NA,5,75,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-46",1,2,1,4,85,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-47",1,2,1,4,80,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-48",1,2,NA,6,90,NA,NA,NA,NA,NA,NA,161,NA
"UX1989-49",1,2,NA,3,90,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-5",1,2,NA,5,80,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-50",1,2,NA,3,85,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-51",1,2,NA,5,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-52",1,2,NA,3,90,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-53",1,3,NA,3,90,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-54",1,2,NA,5,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-55",1,2,0,5,90,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-57",1,2,NA,3,80,NA,NA,NA,NA,NA,NA,162,NA
"UX1989-59",1,2,NA,4,90,NA,NA,NA,NA,NA,NA,161,NA
"UX1989-6",1,1,NA,6,80,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-60",1,2,0,3,80,NA,NA,NA,NA,NA,NA,157,NA
"UX1989-61",1,1,NA,4,85,NA,NA,NA,NA,NA,NA,161,NA
"UX1989-62",1,1,NA,5,90,NA,NA,NA,NA,NA,NA,163,NA
"UX1989-63",1,2,NA,4,90,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-64",1,2,NA,NA,85,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-65",1,2,0,4,85,NA,NA,NA,NA,NA,NA,158,NA
"UX1989-66",1,2,NA,5,85,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-67",1,1,NA,5,90,NA,NA,NA,NA,NA,NA,161,NA
"UX1989-68",1,2,1,3,80,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-69",1,3,NA,5,85,NA,NA,NA,NA,NA,NA,160,NA
"UX1989-7",1,3,NA,3,92.5,NA,NA,NA,NA,NA,NA,160.5,NA
"UX1989-70",1,2,NA,5,85,NA,NA,NA,NA,NA,NA,157,NA
"UX1989-72",1,3,0,2,90,NA,NA,NA,NA,NA,NA,158,NA
"UX1989-74",1,3,NA,3,95,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-76",1,3,NA,3,80,NA,NA,NA,NA,NA,NA,157,NA
"UX1989-78",1,4,NA,3,70,NA,NA,NA,NA,NA,NA,154,NA
"UX1989-8",1,2,NA,3,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-80",1,3,NA,NA,85,NA,NA,NA,NA,NA,NA,158,NA
"UX1989-81",1,4,NA,4,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-82",1,3,NA,3,80,NA,NA,NA,NA,NA,NA,157,NA
"UX1989-83",1,3,NA,2,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-84",1,2,NA,NA,80,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-85",1,3,NA,3,80,NA,NA,NA,NA,NA,NA,156,NA
"UX1989-86",1,4,NA,3,75,NA,NA,NA,NA,NA,NA,156,NA
"UX1989-87",1,3,NA,4,80,NA,NA,NA,NA,NA,NA,157,NA
"UX1989-88",1,3,NA,3,80,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-89",1,3,NA,4,90,NA,NA,NA,NA,NA,NA,156,NA
"UX1989-9",1,2.5,NA,3.5,80,NA,NA,NA,NA,NA,NA,162,NA
"UX1989-90",1,3,NA,5,80,NA,NA,NA,NA,NA,NA,161,NA
"UX1989-91",1,3,NA,2,90,NA,NA,NA,NA,NA,NA,158,NA
"UX1989-92",1,3,NA,3,80,NA,NA,NA,NA,NA,NA,156,NA
"UX1989-93",1,2,NA,2,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-94",1,3,NA,2,80,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-95",1,3,NA,2,85,NA,NA,NA,NA,NA,NA,159,NA
"UX1989-96",1,3,NA,2,75,NA,NA,NA,NA,NA,NA,161,NA
"UX1989-98",1,3,NA,2,75,NA,NA,NA,NA,NA,NA,157,NA
"UX1989-99",1,4,1,NA,95,NA,NA,NA,NA,NA,NA,158,NA
"UX1991-1",1,3,0,4,75,NA,19.33333,0.8333333,37.618,14.416,15.022,159,2.87069015011899
"UX1991-10",1,3,2,4,85,NA,20.66667,1.1666667,40.931,15.618,16.099,162,3.30645107960466
"UX1991-100",1,4,0,2,100,NA,17.6,1.6,44.162,15.754,17.146,161,3.48863636363636
"UX1991-101",1,3,0,3,90,NA,21,2.2,35.938,14.083,14.879,166,2.5047619047619
"UX1991-103",1,3,0,1,110,NA,22.6,3.6,35.075,13.632,14.26,177,2.71681415929203
"UX1991-109",1,2,1,3,85,NA,22.4,0.8,38.933,14.007,14.907,158,3.17857142857143
"UX1991-11",1,3,3,3,90,NA,19.16667,2.3333333,36.855,14.212,14.695,160,3.20869509413998
"UX1991-110",1,2,1,2,105,NA,17.4,3.4,40.471,14.931,15.674,169,3.18390804597701
"UX1991-111",1,4,2,3,95,NA,20.6,1,41.321,15.713,16.451,159,3.49514563106796
"UX1991-113",1,4,0,2.5,85,NA,18.8,1.6,38.762,14.642,15.294,159,3.19148936170213
"UX1991-114",1,3,1.5,3.5,90,NA,19.2,2.2,35.356,13.9405,14.6165,161,2.99479166666667
"UX1991-115",1,3,2,2,95,NA,20.4,1.4,39.241,13.5,15.658,168,3.91176470588235
"UX1991-117",1,3,2,3,85,NA,15.4,2.6,35.778,12.898,13.707,162,2.53246753246753
"UX1991-12",1,3,1,4,100,NA,18.83333,1.6666667,38.424,14.783,15.381,162,3.44247848539442
"UX1991-122",1,3,1,3,90,NA,19.2,2,36.485,12.918,15.242,162,3.79166666666667
"UX1991-124",1,4,0,3.5,85,NA,20.6,2.4,29.074,12.415,12.86,162,2.31067961165049
"UX1991-125",1,3,0,4,80,NA,19.6,1.4,41.012,15.812,16.879,157,3.14285714285714
"UX1991-129",1,4,1,4,90,NA,20.2,2,36.054,14.142,15.342,157,3
"UX1991-13",1,3,0,4,90,NA,23.83333,0.1666667,37.422,14.55,14.977,162,2.85314725218843
"UX1991-131",1,4,4,4,90,NA,20.4,1.8,31.943,12.647,14.095,160,3.09803921568628
"UX1991-132",1,4,1,3,85,NA,19.6,1,38.909,14.906,15.731,161,3.3265306122449
"UX1991-134",1,3,1,3,95,NA,19.6,2,40.1,13.832,15.274,166,3.45918367346939
"UX1991-137",1,3,0,1,100,NA,19.8,2.6,43.024,16.075,16.757,162,3.16161616161616
"UX1991-139",1,4,2,2,100,NA,19.4,1.8,35.393,12.965,14.703,167,4.03092783505155
"UX1991-14",1,2,0,2,95,NA,22,2.8333333,34.262,14.064,14.412,180,2.95454545454545
"UX1991-141",1,2,1,3,110,NA,23.8,2.2,33.255,13.57,14.218,175,3.38655462184874
"UX1991-142",1,3,NA,4,90,NA,24.6,1.8,29.699,12.455,12.782,160,2.08130081300813
"UX1991-143",1,4,2,3,100,NA,21.4,2.8,41.095,14.711,15.984,162,2.95327102803738
"UX1991-144",1,4,0,2,100,NA,19.4,1.2,37.172,13.515,14.585,161,4.14432989690722
"UX1991-145",1,3,1,3,95,NA,22.2,3.2,38.433,14.677,15.254,162,2.56756756756757
"UX1991-146",1,3,1,3,100,NA,19.8,2.4,35.293,13.6,14.221,158,3.15151515151515
"UX1991-147",1,3,0,2,90,NA,20.8,1.8,35.66,13.012,14.707,158,3.45192307692308
"UX1991-148",1,2,2,1,95,NA,21.8,3.2,39.648,13.739,15.719,168,3.11009174311927
"UX1991-149",1,4,3,4,90,NA,20,2.2,32.804,13.284,13.898,163,1.91
"UX1991-151",1,4,1,3,85,NA,19.8,1.6,39.514,14.292,15.211,158,2.87878787878788
"UX1991-152",1,3,3,3,100,NA,19.8,2.6,0,13.412,15.429,161,3.43434343434343
"UX1991-153",1,4,1,2,95,NA,20.2,1.2,44.979,16.79,17.567,160,3.1980198019802
"UX1991-155",1,4,0,NA,85,NA,19.2,2.2,31.44,12.682,13.64,158,2.65625
"UX1991-156",1,3,1,2,105,NA,17.8,2,44.112,15.584,15.882,166,2.47191011235955
"UX1991-158",1,4,3,2.5,100,NA,20.4,2,41.004,15.093,15.453,163,2.80392156862745
"UX1991-159",1,3,1,2,95,NA,20,1.6,38.879,14.726,15.411,163,3.25
"UX1991-160",1,3,0,4,80,NA,21,1,37.767,14.126,15.477,158,3.26666666666667
"UX1991-165",1,3,0,1,105,NA,19.8,4,40.87,14.207,15.985,173,2.67676767676768
"UX1991-166",1,2,2,4,95,NA,20,2.2,40.881,15.123,16.189,165,2.99
"UX1991-169",1,2,1,2,105,NA,17.8,4.4,35.244,13.78,14.723,176,3.1123595505618
"UX1991-17",1,3,0,4,100,NA,22.16667,1,36.969,14.092,14.836,163,3.31578897506933
"UX1991-170",1,3,3,3,95,NA,19.8,1.8,38.074,12.817,14.595,166,3.88888888888889
"UX1991-171",1,4,1,5,90,NA,21.4,2,36.479,14.151,15.067,161,3.18691588785047
"UX1991-173",1,2,1,1,95,NA,24.8,1.6,36.714,13.986,14.723,176,3.21774193548387
"UX1991-174",1,2,1,3,100,NA,19,1.8,40.198,14.546,14.902,168,2.86315789473684
"UX1991-175",1,2,2,4,85,NA,20.2,2.6,32.959,13.467,13.823,168,2.64356435643564
"UX1991-177",1,4,2,4,100,NA,21.83333,0.5,37.718,14.342,15.249,163,3.29007683817967
"UX1991-178",1,3,3,1,105,NA,21.6,3,44.659,15.531,16.499,172,2.40740740740741
"UX1991-179",1,3,1,5,90,NA,19.2,2.2,38.454,13.77,15.023,157,3.33333333333333
"UX1991-18",1,2,0,5,95,NA,21.83333,2.5,35.279,13.362,14.008,160,3.01526763591872
"UX1991-180",1,2,2,3,95,NA,20.8,1.2,37.79,13.358,15.145,162,4
"UX1991-181",1,2,NA,5,100,NA,19.33333,2.3333333,35.593,13.594,14.439,163,2.836207385553
"UX1991-182",1,3,0,3,90,NA,18.33333,2.3333333,41.39,15.131,15.69,162,3.00909145619845
"UX1991-188",1,3,2,4,85,NA,17.16667,1.5,31.652,13.303,13.78,163,3.40776632858906
"UX1991-19",1,3,1,5,90,NA,19.33333,0.6666667,40.675,14.657,15.905,159,3.62069027942936
"UX1991-196",1,3,2,3,90,NA,22.33333,0.6666667,34.777,13.847,14.484,163,3.26865720427719
"UX1991-199",1,3,1,2,90,NA,17.33333,1.8333333,37.609,13.102,14.822,162,3.41346219489658
"UX1991-2",1,2,0,3,90,NA,19.5,3,35.421,13.942,14.573,163,3.35042735042735
"UX1991-20",1,3,2,3,85,NA,20,0.5,31.846,12.79,14.254,159,3.69166666666667
"UX1991-200",1,4,0,5,85,NA,22.8,2.2,34.354,13.629,14.211,164,2.62280701754386
"UX1991-201",1,3,1,5,80,NA,21,1.2,36.589,14.039,14.53,160,2.54285714285714
"UX1991-202",1,4,0,4,90,NA,18.6,0.4,35.867,12.478,14.667,157,4.64516129032258
"UX1991-203",1,3,2,3,100,NA,22.4,2.6,34.033,13.22,13.597,173,3.05357142857143
"UX1991-204",1,3,0,3,100,NA,19.4,2,41.995,15.328,15.977,163,2.68041237113402
"UX1991-21",1,3,0,2,100,NA,20.2,2,41.022,15.008,15.818,167,3.42574257425743
"UX1991-22",1,3,0,3,95,NA,18,2.5,38.439,14.594,15.299,167,3.05555555555556
"UX1991-23",1,4,0,3,85,NA,20.66667,0.6666667,41.715,15.979,16.645,162,3.60483812825191
"UX1991-25",1,4,1,4,80,NA,15,2,45.729,14.613,17.316,167,3.54444444444444
"UX1991-29",1,3,0,2,100,NA,21.33333,2.8333333,34.251,13.569,13.995,175,2.64062541259772
"UX1991-3",1,3,0,3,95,NA,21,0.5,35.805,13.919,14.585,163,3.65079365079365
"UX1991-30",1,3,0,4,85,NA,18.5,1.3333333,36.181,13.701,15.057,159,3.62162162162162
"UX1991-34",1,3,0,3,95,NA,19.83333,1.6666667,34.414,13.913,14.528,166,3.40336191653141
"UX1991-35",1,3,1,4,95,NA,19.16667,1.1666667,40.057,14.624,15.428,163,3.50434721663527
"UX1991-36",1,3,1,4,90,NA,22,1.8333333,33.868,13.517,14.055,162,3.07575757575758
"UX1991-37",1,3,1,4,90,NA,18.33333,1.3333333,37.078,13.927,15.092,157,3.80909160165302
"UX1991-38",1,2,1,2,100,NA,23.16667,1.5,33.822,13.826,14.238,174,2.92086288908448
"UX1991-4",1,3,0,5,90,NA,19.66667,1.1666667,38.897,14.705,15.592,164,3.45762653260567
"UX1991-41",1,4,1,4,85,NA,17.66667,2.1666667,33.616,13.52,13.707,162,3.46226349768613
"UX1991-42",1,2,1,4,100,NA,22.16667,1,43.619,16.408,17.149,167,3.27067619989832
"UX1991-43",1,4,1,4,85,NA,14.83333,2.3333333,40.858,14.297,15.859,160,3.28089961368531
"UX1991-44",1,3,2,5,90,NA,17.33333,1.5,37.724,14.266,14.75,158,3.17307753328414
"UX1991-47",1,2,0,4,90,NA,18.83333,1.6666667,39.127,14.279,15.315,167,3.15929259456506
"UX1991-48",1,3,1,4,100,NA,20.66667,1.8333333,35.575,13.755,14.414,165,3.20161238683671
"UX1991-5",1,4,3,5,85,NA,19,3.5,30.307,12.757,13.419,158,2.89473684210526
"UX1991-51",1,3,0,2,110,NA,22.16667,1.6666667,33.84,12.631,13.52,174,3.36842054610217
"UX1991-52",1,3,1,4,80,NA,20,2.1666667,32.1,13.321,14.366,165,2.98333333333333
"UX1991-53",1,3,0,4,90,NA,20.16667,1.3333333,40.088,14.856,15.383,167,3.18181765589791
"UX1991-55",1,2,0,5,95,NA,22.83333,0.3333333,32.54,13.692,14.357,162,3.43795670627105
"UX1991-58",1,3,3,NA,85,NA,21.16667,1,33.068,13.358,14.182,159,3.25196799181606
"UX1991-59",1,2,3,5,95,NA,19,1.6666667,41.853,15.929,17.045,159,3.46491228070175
"UX1991-6",1,3,1,4,95,NA,19.33333,2.3333333,40.451,15.058,15.848,163,3.3879316186089
"UX1991-60",1,3,0,3,90,NA,19.16667,2.1666667,41.12,14.999,15.817,160,3.05217338223072
"UX1991-62",1,3,2,5,95,NA,17.83333,1.6666667,40.432,14.973,15.739,162,3.03738374530537
"UX1991-63",1,2,1,4,85,NA,21,0.8333333,35.739,14.101,14.683,161,3.29365079365079
"UX1991-64",1,3,0,3,90,NA,18.33333,2,37.118,14.326,15.038,160,2.95454599173563
"UX1991-67",1,3,0,6,80,NA,19,1.1666667,33.687,13.44,14.01,157,3.13157894736842
"UX1991-69",1,3,2,4,85,NA,19.33333,1,37.423,14.433,14.682,158,2.8275866944115
"UX1991-7",1,2,0,2,100,NA,19,3.5,29.962,11.932,13.196,176,2.97368421052632
"UX1991-70",1,3,0,4,95,NA,21.66667,1.3333333,33.568,13.551,14.105,164,2.99999953846161
"UX1991-71",1,3,2,3,95,NA,21,1.3333333,34.347,13.632,14.228,158,3.12698412698413
"UX1991-72",1,3,2,3,85,NA,21.5,0.5,35.772,13.171,15.423,160,4.28682170542636
"UX1991-73",1,3,3,4,90,NA,18.5,2,38.223,14.593,15.223,165,2.95495495495495
"UX1991-74",1,3,1,5,85,NA,16.83333,1.3333333,37.667,14.354,14.544,156,2.97029761788072
"UX1991-75",1,3,1,5,80,NA,18.16667,1.3333333,26.934,11.198,11.953,163,3.54128375389289
"UX1991-78",1,3,1,4,100,NA,20.83333,1.6666667,41.969,15.197,16.108,167,3.32800053248008
"UX1991-79",1,2,2,4,85,NA,22,0.8333333,34.787,12.908,14.361,158,3.56818181818182
"UX1991-8",1,4,2,5,85,NA,18.16667,1,38.977,15.46,16.251,156,2.72477014224401
"UX1991-80",1,2,0,3,95,NA,20.83333,0.8333333,38.869,14.785,15.571,166,3.44000055040009
"UX1991-81",1,4,0,3,90,NA,19.33333,1.6666667,36.243,13.304,14.881,161,3.62931097057086
"UX1991-82",1,2,2,4,85,NA,19.33333,1.5,36.149,14.153,14.741,160,2.98275913495847
"UX1991-83",1,2,0,4,100,NA,21.66667,0.8333333,39.215,14.719,15.229,169,3.22307642721901
"UX1991-84",1,4,3,5,85,NA,21.8,0.2,34.663,14.14,14.85,157,3.48623853211009
"UX1991-85",1,3,2,4,80,NA,16.6,2.2,40.001,14.591,16.048,156,2.90361445783133
"UX1991-86",1,4,1,4,95,NA,20.2,3.6,36.758,12.823,15.114,161,3.5049504950495
"UX1991-87",1,3,3,3,90,NA,16.8,1.6,38.576,14.774,15.303,160,3.04761904761905
"UX1991-89",1,4,0,3,90,NA,19.2,2.8,34.302,13.182,14.086,161,3.36458333333333
"UX1991-9",1,2.5,1.5,3.5,90,NA,21.916665,1.66666665,33.938,13.114,14.1875,167.5,3.09926580106765
"UX1991-90",1,2,2,3,85,NA,19.2,2.4,32.424,12.475,13.145,160,2.5625
"UX1991-91",1,3,1,3,90,NA,19,1.6,37.483,14.455,14.998,157,2.76842105263158
"UX1991-92",1,3,3,4,90,NA,18.4,2.2,37.422,13.707,15.1,161,3.6304347826087
"UX1991-93",1,3,0,3,100,NA,21,2,40,15.323,15.695,167,2.53333333333333
"UX1991-95",1,3,1,4,90,NA,19.6,2,32.123,12.374,13.177,159,3.05102040816326
"UX1991-97",1,3,0,2,95,NA,22,0.8,41.153,15.815,16.645,161,3.69090909090909
"UX1991-98",1,3,1,5,85,NA,19.4,0.6,33.809,12.045,13.535,157,3.3298969072165
"UX1991-99",1,2,2,1,95,NA,19.8,2.6,37.838,14.456,14.915,163,2.25252525252525
"UX1992-10",1,3,3,4,80,NA,18.33333,2.8333333,34.986,13.188,15.078,160,3.2454551355373
"UX1992-100",1,1,3,4,85,NA,18.6,4.4,27.727,12.161,12.643,166,2.66666666666667
"UX1992-101",1,1,3,3,80,NA,21.33333,2.5,30.881,12.981,13.66,163,2.37500037109381
"UX1992-102",1,3,1,3,75,NA,21.4,1,36.147,14.458,15.613,160,3.71028037383178
"UX1992-106",1,2,1,3,80,NA,21.33333,1.8333333,28.614,12.537,12.855,160,2.85937544677741
"UX1992-110",1,2,0,3,90,NA,18,2.8333333,35.385,13.956,14.599,164,2.68518518518519
"UX1992-114",1,2,2,5,70,NA,18.16667,3.3333333,30.103,12.481,13.253,160,2.54128393737909
"UX1992-116",1,3,2,4,85,NA,20.33333,1.5,34.873,14.32,14.6,160,2.82786931604415
"UX1992-117",1,2,2,7,85,NA,19.83333,2.6666667,30.79,12.699,13.623,163,2.72268953322513
"UX1992-118",1,2,1,2,80,NA,17.83333,3.3333333,27.922,12.066,12.823,161,2.85046782251735
"UX1992-119",1,3,1,3,75,NA,21,1,27.397,11.968,12.333,161,2.63492063492063
"UX1992-121",1,2,0,3,90,NA,19.83333,2.5,34.153,13.956,14.292,161,3.09243749452731
"UX1992-124",1,2,4,3,85,NA,19.8,1.4,33.347,13.989,14.469,162,2.66666666666667
"UX1992-125",1,1,3,5,85,NA,19.83333,1.8333333,32.738,13.29,14.091,161,2.94958032766056
"UX1992-126",1,2,1,5,85,NA,19.5,2.6666667,34.123,13.904,14.636,158,3.03418803418803
"UX1992-129",1,2,1,3,80,NA,19.66667,1.5,37.013,14.288,15.669,159,3.47457568227531
"UX1992-132",1,1,3,5,75,NA,21,2.8333333,32.17,13.214,13.748,167,2.53174603174603
"UX1992-134",1,2,4,5,85,NA,17.16667,2.6666667,38.095,14.878,15.432,159,2.40776652276378
