id,p,LOG,chr,pos,FDR,bon,trait
S5B_574914238,1.2976300141452644e-15,14.886849117797748,5B,574914238,6.46846189120136e-13,1.8758539484483942e-11,WDR
S5B_575964839,9.216169751676305e-8,7.035449534622104,5B,575964839,2.6123323515731894e-5,0.0013322894993023267,WDR
S5B_575992091,1.2976300141452644e-15,14.886849117797748,5B,575992091,6.46846189120136e-13,1.8758539484483942e-11,WDR
S5B_575992205,6.358688511649693e-10,9.196632448956477,5B,575992205,2.2980300281101988e-7,9.192120112440796e-6,WDR
S5B_585398898,6.51183293848064e-11,10.186296749830568,5B,585398898,2.5441907286128686e-8,9.413505695867614e-7,WDR
S5B_585984583,2.862633246317848e-9,8.543234289178251,5B,585984583,9.623773536923444e-7,4.138222620877081e-5,WDR
S5B_586711100,2.915791767503245e-6,5.535243494569912,5B,586711100,6.798497708230147e-4,0.04215068579102691,WDR
S5B_590678151,3.39649189936107e-7,6.468969416865094,5B,590678151,8.927215799484295e-5,0.004909968689716363,WDR
S5B_594611731,1.2202321727511387e-6,5.913557528545331,5B,594611731,3.0413234981535277e-4,0.01763967628929046,WDR
S5B_594913947,3.131622450839769e-8,7.504230602105959,5B,594913947,9.841463945508631e-6,4.5270734149339704e-4,WDR
S5B_596680994,2.6254650302794985e-6,5.580793761897126,5B,596680994,6.221921717659087e-4,0.03795372247772043,WDR
S5B_596709707,1.9880210673862652e-7,6.701579017624257,5B,596709707,5.526698567333817e-5,0.0028738832550135847,WDR
S2D_40036763,2.79556661346902e-6,5.553530154803148,2D,40036763,0.002466688169727343,0.0345336343761828,SNB
S2D_62615629,8.883870363443299e-7,6.051397787454946,2D,62615629,0.0010471707489726595,0.010974245059961507,SNB
S2D_63397906,1.3147069828611746e-6,5.88117103037315,2D,63397906,0.001353381279940341,0.01624057535928409,SNB
S2D_63526400,9.123143964427417e-7,6.039855471857338,2D,63526400,0.0010471707489726595,0.011269819739257189,SNB
S2D_69503850,1.0609147791181194e-9,8.974319500589901,2D,69503850,6.552740133223064e-6,1.3105480266446128e-5,SNB
S2D_69798438,9.79222718027159e-10,9.009118519423,2D,69798438,6.552740133223064e-6,1.2096338235789494e-5,SNB
S2D_70643043,5.965935930671031e-7,6.22432141492056,2D,70643043,0.0010471707489726595,0.007369720655157924,SNB
S2D_72213516,9.32476178960516e-7,6.030362253865807,2D,72213516,0.0010471707489726595,0.011518878238699255,SNB
S2D_78710082,8.616580283529749e-7,6.064665061166809,2D,78710082,0.0010471707489726595,0.010644061624244298,SNB
S2D_78763009,4.024378170422452e-8,7.3953012154246025,2D,78763009,8.285523923204759e-5,4.971314353922855e-4,SNB
S2D_80041990,6.142703776169439e-9,8.21164042745708,2D,80041990,1.639464086045324e-5,7.588081974702109e-5,SNB
S2D_80252134,6.635894463066964e-9,8.178100529590433,2D,80252134,1.639464086045324e-5,8.197320430226621e-5,SNB
S2D_80448946,2.010451953973779e-6,5.696706301259599,2D,80448946,0.001910393306726007,0.02483511298743809,SNB
S2D_82867231,6.3863824107004534e-9,8.194745079864127,2D,82867231,1.639464086045324e-5,7.88909819193827e-5,SNB
S1B_6678732,1.140684291938984e-9,8.942834538965744,1B,6678732,6.107308194174057e-7,1.6489732124269955e-5,Height
S1B_6758665,3.8403944206780123e-13,12.415624169922195,1B,6758665,9.252790290886892e-10,5.551674174532135e-9,Height
S1B_6783243,3.8403944206780123e-13,12.415624169922195,1B,6783243,9.252790290886892e-10,5.551674174532135e-9,Height
S1B_7070251,1.0660898533325561e-11,10.972206190091827,1B,7070251,1.4010359017977665e-8,1.5411394919775432e-7,Height
S1B_7989396,4.872387820890228e-11,10.312258151046501,1B,7989396,5.7718315500095385e-8,7.043523833878914e-7,Height
S1B_8181676,5.882453792555138e-9,8.23044147557857,1B,8181676,2.6573985007867837e-6,8.503675202517708e-5,Height
S1B_8866241,1.5249396143217043e-7,6.816747353488411,1B,8866241,3.67408784410576e-5,0.002204452706463456,Height
S1B_9007028,9.756102817257752e-10,9.010723631407467,1B,9007028,5.42439316639531e-7,1.4103422232627805e-5,Height
S1B_10014975,1.0248609521808297e-7,6.989335053434516,1B,10014975,2.743590726801125e-5,0.0014815389924726075,Height
S1B_11408550,1.5166554643784916e-9,8.819113065827324,1B,11408550,7.830275497519813e-7,2.1924771393055476e-5,Height
S1B_11881992,3.7181209211386326e-7,6.429676490161406,1B,11881992,7.904287652350011e-5,0.005374915603598008,Height
S1B_13629533,2.762725646138262e-12,11.558662240774472,1B,13629533,4.0110221269458054e-9,3.9937961940574714e-8,Height
S1B_17350160,2.765902548654646e-8,7.558163125501875,1B,17350160,1.0806456011716638e-5,3.9983887243351564e-4,Height
S1B_17568004,6.245507146978387e-8,7.204432290325621,1B,17568004,1.842552067688154e-5,9.028505131671955e-4,Height
S1B_17836570,1.6086515560978546e-7,6.7935380165920725,1B,17836570,3.812240474582063e-5,0.0023254666894950587,Height
S1B_21523313,5.1904959982100164e-11,10.284791139455361,1B,21523313,5.7718315500095385e-8,7.5033810150124e-7,Height
S1B_45803760,2.2682198829981886e-6,5.644314846893771,1B,45803760,3.603229299848551e-4,0.03278938662862181,Height
S1B_46228373,1.1112768484556346e-10,9.954177733337568,1B,46228373,1.004038632579666e-7,1.6064618121274655e-6,Height
S1B_48279869,2.025855391033265e-7,6.69339155854026,1B,48279869,4.5759008644963875e-5,0.002928576553277688,Height
S1B_56536392,4.221459456000191e-10,9.37453737744843,1B,56536392,2.77388263163358e-7,6.102541789593876e-6,Height
S1B_57687500,2.4622527975924376e-10,9.608667360436675,1B,57687500,1.9774625801109043e-7,3.559432644199628e-6,Height
S1B_324358106,1.295291175648097e-7,6.887632593155857,1B,324358106,3.2969062631249554e-5,0.0018724729235168889,Height
S1B_565932237,1.1226925257407792e-6,5.949739168634458,1B,565932237,1.9321003752510363e-4,0.016229643152108703,Height
S1B_576555765,5.61908640285128e-8,7.2503342898497465,1B,576555765,1.7655364076844074e-5,8.12295130396181e-4,Height
S1B_585322218,6.780311066558995e-7,6.168750381148999,1B,585322218,1.2729373607555432e-4,0.009801617677817684,Height
S1B_587822791,6.260941187323523e-7,6.203360375777385,1B,587822791,1.2067755440526513e-4,0.009050816580394885,Height
S1B_589890315,3.0321246176335645e-6,5.518252953555013,1B,589890315,4.5188034507743103e-4,0.043832393472510806,Height
S1B_591364719,4.726643233908703e-8,7.325447176921142,1B,591364719,1.5842873086434566e-5,6.832835458938421e-4,Height
S1B_669955527,5.068167261767712e-8,7.295149060784635,1B,669955527,1.62812057635809e-5,7.326542593611405e-4,Height
S2B_2416583,2.7869090020201837e-6,5.554877211611666,2B,2416583,4.240795424547766e-4,0.040287556533203775,Height
S2D_29322309,3.282309797281251e-6,5.483820430930642,2D,29322309,4.7928353969189664e-4,0.04744907042949777,Height
S2D_29712561,5.8623234344806e-8,7.231930224462025,2D,29712561,1.7655364076844074e-5,8.474574756885155e-4,Height
S3A_65967793,6.741251251796633e-7,6.17125948605875,3A,65967793,1.2729373607555432e-4,0.009745152809597212,Height
S3A_65967808,4.551898517858641e-8,7.341807428868102,3A,65967808,1.5667201184324887e-5,6.580224497416452e-4,Height
S3B_818410201,2.4169031398778007e-6,5.616740754085313,3B,818410201,3.7568550311906974e-4,0.03493875179007349,Height
S3B_824290073,1.2999699570982463e-7,6.886066684321792,3B,824290073,3.2969062631249554e-5,0.0018792365699812248,Height
S3B_825427364,1.475696375436016e-6,5.831002989421603,3B,825427364,2.480542651546866e-4,0.021332666803303046,Height
S3B_825523828,7.633043679762129e-7,6.117302252379914,3B,825523828,1.3792909929330168e-4,0.011034327943464133,Height
S3B_825887076,7.271551466148727e-7,6.1383729177102175,3B,825887076,1.3306018733499493e-4,0.0105117547994646,Height
S3B_826500808,7.236687210315118e-10,9.140460198379868,3B,826500808,4.304828297873785e-7,1.0461355031231534e-5,Height
S3B_826652050,5.222212893721171e-7,6.282145427288317,3B,826652050,1.0632719660793416e-4,0.007549230959163325,Height
S4A_227691695,2.8524799144759546e-6,5.5447774049511045,4A,227691695,4.2953593378817085e-4,0.0412354496436644,Height
S4A_538895487,6.223453684969339e-7,6.205968538129018,4A,538895487,1.2067755440526513e-4,0.008996624646991677,Height
S4A_552215864,1.735778268207237e-6,5.7605057532634305,4A,552215864,2.884185131632623e-4,0.02509241064520382,Height
S4A_669386657,5.548351634121184e-7,6.25583602273949,4A,669386657,1.1139857114285533e-4,0.008020697122285583,Height
S4A_713494076,1.3517123364848264e-7,6.869115722573266,4A,713494076,3.369026471762871e-5,0.001954035353622465,Height
S4A_715808440,5.826451929886462e-8,7.234595832265198,4A,715808440,1.7655364076844074e-5,8.42271890984387e-4,Height
S4A_716834679,9.121100376414158e-8,7.0399527648977704,4A,716834679,2.585384843949864e-5,0.0013185462704144307,Height
S4A_717638864,5.98008506689818e-7,6.223292638114983,4A,717638864,1.184220681192878e-4,0.008644810972708009,Height
S4A_719871939,1.924260648830971e-6,5.715736101382367,4A,719871939,3.161035447670513e-4,0.027817111939500518,Height
S4A_722925459,1.7083375425909683e-7,6.767426314910829,4A,722925459,3.983181857370167e-5,0.002469572751569504,Height
S4A_723640688,2.3853225230572873e-6,5.622452891041434,4A,723640688,3.748067651447407e-4,0.03448222239331614,Height
S4D_469162644,8.484908578020572e-7,6.071352832695167,4D,469162644,1.4958272976081142e-4,0.012265783840386539,Height
S4D_476400302,8.269983993316686e-8,7.082495331030399,4D,476400302,2.3910177721477203e-5,0.0011955088860738602,Height
S5A_51793344,2.1125460379861714e-6,5.675193817845495,5A,51793344,3.4313444410256287e-4,0.030538965525128095,Height
S5A_164067869,1.1929577908047754e-8,7.923374922251591,5A,164067869,5.072175830551127e-6,1.7245397823873832e-4,Height
S5A_169302618,1.2713167990972553e-6,5.895746214232685,5A,169302618,2.1621359585588144e-4,0.018378155647749923,Height
S5A_172051117,2.634309712575534e-7,6.579333166900681,5A,172051117,5.7699365462108965e-05,0.0038081581204991916,Height
S5A_304540878,9.740390520693797e-8,7.011423630638587,5A,304540878,2.6567374597575383e-5,0.0014080708536714955,Height
S5A_305787170,1.0316843564453649e-8,7.986453154668137,5A,305787170,4.519402744477029e-6,1.4914029056774196e-4,Height
S5A_572832639,2.1857151143569605e-6,5.660406444548023,5A,572832639,3.510744188127136e-4,0.03159669769314422,Height
S5A_575821560,9.612141148555068e-17,16.017179860466086,5A,575821560,6.947655622175603e-13,1.3895311244351205e-12,Height
S5A_577827993,9.240670687130302e-13,12.034296506577606,5A,577827993,1.9083305064736523e-9,1.3358313545315565e-8,Height
S5A_577963056,1.5154204180444618e-10,9.819466865572599,5A,577963056,1.2886422096029847e-7,2.190691756325074e-6,Height
S5A_578110962,2.84847625552485e-10,9.545387396406534,5A,578110962,2.0588786374933617e-7,4.1177572749867235e-6,Height
S5A_578449873,2.84847625552485e-10,9.545387396406534,5A,578449873,2.0588786374933617e-7,4.1177572749867235e-6,Height
S5A_578832139,3.937574007627501e-7,6.404771270458929,5A,578832139,8.249502877429442e-5,0.0056921569854263155,Height
S5A_580276757,3.23159556288918e-9,8.490582996844266,5A,580276757,1.5571981819041996e-6,4.671594545712599e-5,Height
S5A_580797168,1.7325849436435012e-9,8.761305463988126,5A,580797168,8.636637222520846e-7,2.5046247945310453e-5,Height
S5A_584456955,6.442145747594533e-16,15.190969453893846,5A,584456955,2.328191473180664e-12,9.312765892722656e-12,Height
S5A_585018041,5.159431540062902e-16,15.28739814577856,5A,585018041,2.328191473180664e-12,7.458474234314932e-12,Height
S5A_585200466,1.102503341212294e-12,11.957620085698796,5A,585200466,1.9922235375706152e-9,1.5937788300564922e-8,Height
S5A_585223490,9.278880915029207e-19,18.032504398968026,5A,585223490,1.3413550250766222e-14,1.3413550250766222e-14,Height
S5A_597660738,3.0218336508409666e-7,6.519729446850169,5A,597660738,6.5199443666503e-5,0.004368362725655701,Height
S5A_597750832,4.800742388120582e-10,9.318691598013217,5A,597750832,3.0173709548987446e-7,6.939953196267112e-6,Height
S5A_598072246,3.648013982768204e-8,7.437943505697943,5A,598072246,1.303377161662626e-5,5.273569013489716e-4,Height
S5A_602433104,2.547545467576762e-6,5.5938780561374415,5A,602433104,3.9177997105627313e-4,0.03682731727928967,Height
S5A_605695772,1.1585739041349679e-7,6.9360762578305915,5A,605695772,3.045153519668199e-5,0.0016748344358175095,Height
S5A_608879339,4.927477995300459e-9,8.307375306478438,5A,608879339,2.297794254840756e-6,7.123162190006343e-5,Height
S5B_63845743,7.089965531076369e-7,6.149355876199122,5B,63845743,1.3140069450928206e-4,0.010249254171723999,Height
S6A_32900471,3.3766755629192246e-6,5.471510665157514,6A,32900471,4.8813221937560314e-4,0.04881322193756031,Height
S6A_98211529,3.69662864057607e-8,7.432194176002311,6A,98211529,1.303377161662626e-5,5.343846362816766e-4,Height
S6A_99795250,7.836538175157816e-7,6.105875746429783,6A,99795250,1.398580195803474e-4,0.01132849958600814,Height
S6A_99969813,7.444708594828765e-10,9.128152296989668,6A,99969813,4.304828297873785e-7,1.0762070744684463e-5,Height
S6A_100062732,2.9514890190575284e-8,7.529958828221744,6A,100062732,1.1228085594604114e-5,4.2666725259495633e-4,Height
S6A_106080668,1.9570633073162029e-7,6.708395125505312,6A,106080668,4.490683677867147e-5,0.002829130717056303,Height
S6A_123541747,2.5143932922825445e-7,6.599566790568492,6A,123541747,5.592010682036379e-5,0.003634806943323646,Height
S6A_146443230,5.195478101600748e-7,6.284374481343945,6A,146443230,1.0632719660793416e-4,0.007510583143674041,Height
S6A_266973567,2.774641759093667e-12,11.55679308176371,6A,266973567,4.0110221269458054e-9,4.0110221269458056e-8,Height
S6A_361416406,9.62721169835771e-11,10.016499478125862,6A,361416406,9.940783736532791e-8,1.3917097231145906e-6,Height
S6A_421525668,1.2796844987477542e-8,7.892897090775903,6A,421525668,5.285462603970724e-6,1.8499119113897535e-4,Height
S6A_428106357,1.0640113818589111e-10,9.973053726315332,6A,428106357,1.004038632579666e-7,1.5381348536152418e-6,Height
S6A_448055504,3.078470987923121e-6,5.5116649349243,6A,448055504,4.541058836879248e-4,0.044502376601416635,Height
S6A_449689420,2.1401552598402157e-8,7.669554719152692,6A,449689420,8.59391234340282e-6,3.0938084436250157e-4,Height
S6A_449807950,3.385126830192577e-10,9.470425055008116,6A,449807950,2.3302568312982805e-7,4.893539345726389e-6,Height
S6A_449964357,4.822125178494195e-8,7.316761519876515,6A,449964357,1.5842873086434566e-5,6.970864158031207e-4,Height
S6A_459678701,9.728370083086703e-8,7.0119599164856865,6A,459678701,2.6567374597575383e-5,0.0014063331792110137,Height
S6A_469551147,3.536832171237283e-8,7.451385547715595,6A,469551147,1.303377161662626e-5,5.112844586740616e-4,Height
S6A_473574940,8.987751605964883e-7,6.046348938661616,6A,473574940,1.5653847857328716e-4,0.012992693721582835,Height
S6A_520845639,1.4091282446468522e-7,6.8510494799864965,6A,520845639,3.4526030346804904e-5,0.0020370357904614896,Height
S1B_62722732,8.287044290697926e-7,6.081600340032334,1B,62722732,8.150308059901411e-4,0.009780369671881693,ave_SpS
S1B_139112675,1.7406518874391497e-6,5.759288074649937,1B,139112675,9.90657298973435e-4,0.020543173575556847,ave_SpS
S1B_290415484,1.7627354074260411e-6,5.753812871885967,1B,290415484,9.90657298973435e-4,0.020803803278442137,ave_SpS
S1B_291754020,1.7627354074260411e-6,5.753812871885967,1B,291754020,9.90657298973435e-4,0.020803803278442137,ave_SpS
S1B_445137057,4.188947563270897e-6,5.377895076049531,1B,445137057,0.0020277481811584027,0.04943795914172312,ave_SpS
S1B_448740284,3.0367763731255553e-6,5.517587188158594,1B,448740284,0.001629092488892173,0.0358400347556278,ave_SpS
S1B_496056417,6.335864243218474e-7,6.198194136824614,1B,496056417,6.797806345314949e-4,0.007477586979846442,ave_SpS
S1B_510247972,5.980528035475134e-7,6.223260469394689,1B,510247972,6.797806345314949e-4,0.007058219187467752,ave_SpS
S1B_537417277,2.357614174873321e-7,6.627527266006639,1B,537417277,3.478070311481867e-4,0.0027824562491854934,ave_SpS
S1B_540721876,4.84584024307979e-7,6.314630907716581,1B,540721876,6.354511838758631e-4,0.0057190606548827684,ave_SpS
S1B_553823129,1.4364090273881977e-6,5.84272187413037,1B,553823129,9.90657298973435e-4,0.016952499341235508,ave_SpS
S1B_555007551,1.4364090273881977e-6,5.84272187413037,1B,555007551,9.90657298973435e-4,0.016952499341235508,ave_SpS
S1B_561715051,8.965175714808118e-8,7.047441193974224,1B,561715051,2.1161400757233083e-4,0.001058070037861654,ave_SpS
S1B_566170610,5.7315390044553284e-8,7.241728747770944,1B,566170610,2.0687207436440266e-4,6.764362333058179e-4,ave_SpS
S1B_583209384,1.0066060129109086e-6,5.997140479694663,1B,583209384,9.138433972595802e-4,0.011879964164374543,ave_SpS
S1B_583684836,1.090587890144881e-7,6.962339329015284,1B,583684836,2.145186379914981e-4,0.0012871118279489885,ave_SpS
S2B_525250959,1.6742646727611518e-6,5.776175886346521,2B,525250959,9.90657298973435e-4,0.019759671667927112,ave_SpS
S7A_672150631,7.011424313316477e-8,7.154193749710839,7A,672150631,2.0687207436440266e-4,8.274882974576107e-4,ave_SpS
S7A_672150702,7.011424313316477e-8,7.154193749710839,7A,672150702,2.0687207436440266e-4,8.274882974576107e-4,ave_SpS
S7A_673030356,1.7536085236290178e-6,5.7560673522490715,7A,673030356,9.90657298973435e-4,0.020696087795869667,ave_SpS
S7A_674120808,2.235559701384266e-8,7.650613727658826,7A,674120808,2.0687207436440266e-4,2.638407559573711e-4,ave_SpS
S7A_679519524,1.7592620467482858e-6,5.754669466409197,7A,679519524,9.90657298973435e-4,0.02076281067572327,ave_SpS
S7A_679954575,1.5138215591181493e-7,6.819925314041724,7A,679954575,2.5523031486732e-4,0.0017866122040712399,ave_SpS
S3B_22453005,3.580596654475522e-6,5.4460445984523504,3B,22453005,0.008451640343224024,0.04225820171612011,WeightOf1000Particles
S3B_656597840,1.4144391736522019e-6,5.8494157241456275,3B,656597840,0.005553400439068525,0.016693211127443288,WeightOf1000Particles
S3B_661012002,1.8821896082252245e-6,5.725336628699347,3B,661012002,0.005553400439068525,0.0222136017562741,WeightOf1000Particles
S5A_698528417,5.52718083913744e-7,6.25749632587332,5A,698528417,0.005553400439068525,0.006523178826350006,WeightOf1000Particles
S6A_538501148,1.6304471204211864e-6,5.787693281912726,6A,538501148,0.005553400439068525,0.019242536915210842,WeightOf1000Particles
S3B_780383894,3.79205061236004e-8,7.421125874782812,3B,780383894,1.73955714428794e-4,4.475378132707319e-4,SampleAreaAverage
S3B_780625787,5.311510826919502e-7,6.27478192892468,3B,780625787,0.0011279716943769778,0.006268645077930396,SampleAreaAverage
S3B_780919604,5.067765900961312e-7,6.295183455009767,3B,780919604,0.0011279716943769778,0.005980977316314541,SampleAreaAverage
S3B_781113431,1.6052331065076952e-6,5.79446189190771,3B,781113431,0.0021049956803337573,0.01894496112300382,SampleAreaAverage
S3B_781533368,2.060801810766182e-6,5.685963772718275,3B,781533368,0.0023030365436380977,0.024321582970662482,SampleAreaAverage
S3B_781549015,2.146534653450184e-6,5.668262095919361,3B,781549015,0.0023030365436380977,0.02533340198001907,SampleAreaAverage
S3B_781834918,6.722665605655878e-7,6.172458490594187,3B,781834918,0.0011279716943769778,0.007934089947795066,SampleAreaAverage
S6A_520845639,3.281138503390977e-6,5.483975436791991,6A,520845639,0.003226999718085026,0.03872399661702031,SampleAreaAverage
S6A_538501148,1.0161053345280755e-8,7.993061268594348,6A,538501148,1.1992075158100346e-4,1.1992075158100346e-4,SampleAreaAverage
S6A_548604630,4.421853442521454e-8,7.354395655732653,6A,548604630,1.73955714428794e-4,5.21867143286382e-4,SampleAreaAverage
S6A_555753441,7.645969797505357e-7,6.1165674218287185,6A,555753441,0.0011279716943769778,0.009023773555015822,SampleAreaAverage
S6A_555860128,7.645969797505357e-7,6.1165674218287185,6A,555860128,0.0011279716943769778,0.009023773555015822,SampleAreaAverage
S1A_533263830,1.2017042517658546e-7,6.920202402241818,1A,533263830,4.727504526446872e-4,0.0014182513579340617,WKAreaMedian
S1A_533670346,1.2017042517658546e-7,6.920202402241818,1A,533670346,4.727504526446872e-4,0.0014182513579340617,WKAreaMedian
S3B_780383894,8.078664561398755e-7,6.092660424070573,3B,780383894,0.0011378680026461908,0.00953443991536281,WKAreaMedian
S6A_50719553,4.923649613446872e-7,6.307712860769351,6A,50719553,0.0011378680026461908,0.005810891273789999,WKAreaMedian
S6A_52814011,2.6367381438222944e-7,6.578932998132156,6A,52814011,7.779695893347679e-4,0.0031118783573390717,WKAreaMedian
S6A_60538251,7.40589757565689e-7,6.130422298583446,6A,60538251,0.0011378680026461908,0.008740440318790262,WKAreaMedian
S6A_98038671,2.0468062224156763e-6,5.688923271416217,6A,98038671,0.002196037003359074,0.024156407036949813,WKAreaMedian
S6A_109621967,2.8370617560034035e-6,5.547131210556071,6A,109621967,0.0027902502370293473,0.03348300284435217,WKAreaMedian
S6A_538501148,8.261810562638572e-8,7.082924767304717,6A,538501148,4.727504526446872e-4,9.750588826026043e-4,WKAreaMedian
S6A_548604630,6.931398927897075e-7,6.159179105164069,6A,548604630,0.0011378680026461908,0.008180437014704127,WKAreaMedian
S6A_555753441,9.641315053772164e-7,6.015863725262615,6A,555753441,0.0011378680026461908,0.011378680026461908,WKAreaMedian
S6A_555860128,9.641315053772164e-7,6.015863725262615,6A,555860128,0.0011378680026461908,0.011378680026461908,WKAreaMedian
S6A_566875710,3.090654740269968e-6,5.509949507641474,6A,566875710,0.002805839018820474,0.036475907244666164,WKAreaMedian
S1B_595010506,1.3262873346189654e-6,5.87736237764986,1B,595010506,1.638701684551433e-4,0.019172809709251764,days_to_head
