Location,Cross_ID,Entry,Awns,WDR,Powdery_mildew,SNB,Height,Rust,ave_SpS,ave_infert,WeightOf1000Particles,SampleAreaAverage,WKAreaMedian,days_to_head,seeds_per_spikelet
Kinston,UX1989,UX1989-129,1,3,NA,NA,95,NA,NA,NA,NA,NA,NA,157,NA
Kinston,UX1989,UX1989-13,1,2,NA,NA,95,0,NA,NA,NA,NA,NA,161,NA
Kinston,UX1989,UX1989-131,1,3,NA,NA,75,NA,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-132,1,2,NA,NA,90,NA,NA,NA,NA,NA,NA,163,NA
Kinston,UX1989,UX1989-133,1,3,NA,NA,90,NA,NA,NA,NA,NA,NA,161,NA
Kinston,UX1989,UX1989-134,1,4,NA,NA,80,NA,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-135,1,3,NA,NA,90,NA,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-136,1,2,1,NA,95,NA,NA,NA,NA,NA,NA,163,NA
Kinston,UX1989,UX1989-137,1,2,0,NA,85,NA,NA,NA,NA,NA,NA,162,NA
Kinston,UX1989,UX1989-138,1,2,1,NA,85,NA,NA,NA,NA,NA,NA,161,NA
Kinston,UX1989,UX1989-139,1,2,1,NA,90,NA,NA,NA,NA,NA,NA,161,NA
Kinston,UX1989,UX1989-14,1,3,NA,NA,95,0,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-140,1,3,NA,NA,85,NA,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-141,1,2,1,NA,90,NA,NA,NA,NA,NA,NA,160,NA
Kinston,UX1989,UX1989-142,1,2,NA,NA,90,NA,NA,NA,NA,NA,NA,164,NA
Kinston,UX1989,UX1989-143,1,4,NA,NA,90,NA,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-144,1,1,1,NA,90,NA,NA,NA,NA,NA,NA,166,NA
Kinston,UX1989,UX1989-146,1,4,NA,NA,80,NA,NA,NA,NA,NA,NA,164,NA
Kinston,UX1989,UX1989-147,1,4,NA,NA,80,NA,NA,NA,NA,NA,NA,150,NA
Kinston,UX1989,UX1989-148,1,3,NA,NA,80,NA,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-15,1,2,NA,NA,85,0,NA,NA,NA,NA,NA,164,NA
Kinston,UX1989,UX1989-16,1,2,NA,NA,95,0,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-17,1,2,NA,NA,90,0,NA,NA,NA,NA,NA,160,NA
Kinston,UX1989,UX1989-18,1,2,NA,NA,85,NA,NA,NA,NA,NA,NA,160,NA
Kinston,UX1989,UX1989-19,1,1,NA,NA,95,0,NA,NA,NA,NA,NA,160,NA
Kinston,UX1989,UX1989-2,1,2,1,NA,95,0,NA,NA,NA,NA,NA,167,NA
Kinston,UX1989,UX1989-20,1,3,NA,NA,90,0,NA,NA,NA,NA,NA,155,NA
Kinston,UX1989,UX1989-21,1,3,NA,NA,80,NA,NA,NA,NA,NA,NA,157,NA
Kinston,UX1989,UX1989-22,1,4,NA,NA,85,NA,NA,NA,NA,NA,NA,148,NA
Kinston,UX1989,UX1989-23,1,4,NA,NA,95,30,NA,NA,NA,NA,NA,153,NA
Kinston,UX1989,UX1989-24,1,3,NA,NA,85,NA,NA,NA,NA,NA,NA,154,NA
Kinston,UX1989,UX1989-25,1,2,NA,NA,105,0,NA,NA,NA,NA,NA,160,NA
Kinston,UX1989,UX1989-26,1,3,NA,NA,90,0,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-27,1,3,NA,NA,90,10,NA,NA,NA,NA,NA,154,NA
Kinston,UX1989,UX1989-28,1,2,1,NA,85,10,NA,NA,NA,NA,NA,164,NA
Kinston,UX1989,UX1989-29,1,2,NA,NA,100,0,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-3,1,2,NA,NA,95,0,NA,NA,NA,NA,NA,161,NA
Kinston,UX1989,UX1989-30,1,3,NA,NA,95,0,NA,NA,NA,NA,NA,157,NA
Kinston,UX1989,UX1989-31,1,2,0,NA,85,0,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-32,1,3,NA,NA,80,0,NA,NA,NA,NA,NA,156,NA
Kinston,UX1989,UX1989-33,1,2,0,NA,95,0,NA,NA,NA,NA,NA,160,NA
Kinston,UX1989,UX1989-34,1,2,0,NA,95,0,NA,NA,NA,NA,NA,165,NA
Kinston,UX1989,UX1989-35,1,4,1,NA,90,0,NA,NA,NA,NA,NA,155,NA
Kinston,UX1989,UX1989-37,1,3,NA,NA,80,0,NA,NA,NA,NA,NA,157,NA
Kinston,UX1989,UX1989-38,1,1,NA,NA,85,0,NA,NA,NA,NA,NA,161,NA
Kinston,UX1989,UX1989-39,1,2,NA,NA,95,0,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-4,1,3,NA,NA,90,0,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-40,1,2,NA,NA,90,0,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-41,1,2,NA,NA,75,0,NA,NA,NA,NA,NA,160,NA
Kinston,UX1989,UX1989-42,1,3,1,NA,90,0,NA,NA,NA,NA,NA,152,NA
Kinston,UX1989,UX1989-43,1,3,NA,NA,85,NA,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-44,1,3,NA,NA,95,0,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-45,1,3,NA,NA,85,20,NA,NA,NA,NA,NA,153,NA
Kinston,UX1989,UX1989-46,1,2,NA,NA,85,0,NA,NA,NA,NA,NA,161,NA
Kinston,UX1989,UX1989-47,1,1,1,NA,85,0,NA,NA,NA,NA,NA,165,NA
Kinston,UX1989,UX1989-48,1,1,NA,NA,100,20,NA,NA,NA,NA,NA,165,NA
Kinston,UX1989,UX1989-49,1,1,0,NA,85,0,NA,NA,NA,NA,NA,164,NA
Kinston,UX1989,UX1989-5,1,3,NA,NA,85,NA,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-50,1,2,1,NA,80,0,NA,NA,NA,NA,NA,160,NA
Kinston,UX1989,UX1989-51,1,4,NA,NA,85,0,NA,NA,NA,NA,NA,150,NA
Kinston,UX1989,UX1989-52,1,1,1,NA,85,0,NA,NA,NA,NA,NA,165,NA
Kinston,UX1989,UX1989-53,1,2,NA,NA,95,0,NA,NA,NA,NA,NA,161,NA
Kinston,UX1989,UX1989-54,1,2,NA,NA,80,0,NA,NA,NA,NA,NA,161,NA
Kinston,UX1989,UX1989-55,1,3,NA,NA,90,NA,NA,NA,NA,NA,NA,157,NA
Kinston,UX1989,UX1989-57,1,4,NA,NA,90,0,NA,NA,NA,NA,NA,157,NA
Kinston,UX1989,UX1989-59,1,2,0,NA,85,0,NA,NA,NA,NA,NA,161,NA
Kinston,UX1989,UX1989-6,1,1,1,NA,85,0,NA,NA,NA,NA,NA,163,NA
Kinston,UX1989,UX1989-60,1,4,NA,NA,85,0,NA,NA,NA,NA,NA,148,NA
Kinston,UX1989,UX1989-61,1,2,NA,NA,90,0,NA,NA,NA,NA,NA,164,NA
Kinston,UX1989,UX1989-62,1,1,NA,NA,90,0,NA,NA,NA,NA,NA,168,NA
Kinston,UX1989,UX1989-63,1,3,NA,NA,95,0,NA,NA,NA,NA,NA,156,NA
Kinston,UX1989,UX1989-64,1,3,NA,NA,90,NA,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-65,1,2,NA,NA,85,NA,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-66,1,3,0,NA,85,10,NA,NA,NA,NA,NA,156,NA
Kinston,UX1989,UX1989-67,1,1,0,NA,80,0,NA,NA,NA,NA,NA,166,NA
Kinston,UX1989,UX1989-68,1,3,NA,NA,90,0,NA,NA,NA,NA,NA,157,NA
Kinston,UX1989,UX1989-69,1,3,NA,NA,85,0,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-7,1,2.5,NA,NA,92.5,NA,NA,NA,NA,NA,NA,160.5,NA
Kinston,UX1989,UX1989-70,1,2,NA,NA,90,0,NA,NA,NA,NA,NA,162,NA
Kinston,UX1989,UX1989-72,1,2,NA,NA,90,NA,NA,NA,NA,NA,NA,166,NA
Kinston,UX1989,UX1989-74,1,2,0,NA,100,NA,NA,NA,NA,NA,NA,161,NA
Kinston,UX1989,UX1989-76,1,3,NA,NA,95,NA,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-78,1,4,NA,NA,85,NA,NA,NA,NA,NA,NA,159,NA
Kinston,UX1989,UX1989-8,1,2,NA,NA,95,0,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-80,1,3,1,NA,100,NA,NA,NA,NA,NA,NA,161,NA
Kinston,UX1989,UX1989-81,1,2,NA,NA,90,NA,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-82,1,3,0,NA,80,NA,NA,NA,NA,NA,NA,155,NA
Kinston,UX1989,UX1989-83,1,2,1,NA,100,NA,NA,NA,NA,NA,NA,164,NA
Kinston,UX1989,UX1989-84,1,2,NA,NA,90,NA,NA,NA,NA,NA,NA,162,NA
Kinston,UX1989,UX1989-85,1,4,NA,NA,80,NA,NA,NA,NA,NA,NA,155,NA
Kinston,UX1989,UX1989-86,1,4,NA,NA,90,NA,NA,NA,NA,NA,NA,155,NA
Kinston,UX1989,UX1989-87,1,2,NA,NA,90,NA,NA,NA,NA,NA,NA,157,NA
Kinston,UX1989,UX1989-88,1,3,NA,NA,90,NA,NA,NA,NA,NA,NA,154,NA
Kinston,UX1989,UX1989-89,1,3,NA,NA,95,NA,NA,NA,NA,NA,NA,158,NA
Kinston,UX1989,UX1989-9,1,2.5,NA,NA,90,NA,NA,NA,NA,NA,NA,161.5,NA
Kinston,UX1989,UX1989-90,1,3,NA,NA,90,NA,NA,NA,NA,NA,NA,166,NA
Kinston,UX1989,UX1989-91,1,3,0,NA,100,NA,NA,NA,NA,NA,NA,157,NA
Kinston,UX1989,UX1989-92,1,2,NA,NA,85,NA,NA,NA,NA,NA,NA,160,NA
Kinston,UX1989,UX1989-93,1,2,NA,NA,80,NA,NA,NA,NA,NA,NA,165,NA
Kinston,UX1989,UX1989-94,1,3,NA,NA,95,NA,NA,NA,NA,NA,NA,163,NA
Kinston,UX1989,UX1989-95,1,2,NA,NA,95,NA,NA,NA,NA,NA,NA,163,NA
Kinston,UX1989,UX1989-96,1,1,NA,NA,75,NA,NA,NA,NA,NA,NA,166,NA
Kinston,UX1989,UX1989-98,1,3,1,NA,85,NA,NA,NA,NA,NA,NA,156,NA
Kinston,UX1989,UX1989-99,1,3,NA,NA,90,NA,NA,NA,NA,NA,NA,159,NA
Kinston,UX1991,UX1991-1,1,4,0,NA,90,10,17.8,2,42.148,13.561,16.262,151,3.269662921348315
Kinston,UX1991,UX1991-10,1,3,0,NA,95,0,18.2,2.2,51.471,17.524,18.054,158,2.989010989010989
Kinston,UX1991,UX1991-100,1,3,NA,NA,100,0,16.6,1.8,44.206,15.156,16.176,167,2.927710843373494
Kinston,UX1991,UX1991-101,1,3,0,NA,90,0,21.4,0.6,40.394,14.858,15.883,170,2.7476635514018692
Kinston,UX1991,UX1991-103,1,2,1,NA,95,0,24.6,0.8,33.113,13.428,14.316,189,2.7073170731707314
Kinston,UX1991,UX1991-109,1,3,NA,NA,85,0,20.6,1.2,39.589,15.032,15.485,159,2.320388349514563
Kinston,UX1991,UX1991-11,1,4,1,NA,95,0,19.2,2,47.173,16.263,17.636,155,3.1666666666666665
Kinston,UX1991,UX1991-110,1,2,NA,NA,100,12.5,17.6,2.4,36.413,12.347,14.495,174,3.5227272727272725
Kinston,UX1991,UX1991-111,1,3.5,NA,NA,87.5,0,20.525,1.325,42.6795,15.001999999999999,16.4165,161,2.734627255460589
Kinston,UX1991,UX1991-113,1,3,NA,NA,70,0,19,1,39.506,14.587,15.04,157,3.526315789473684
Kinston,UX1991,UX1991-114,1,3,NA,NA,75,0,19.6,0.8,45.218,15.596,16.647,160,3.23469387755102
Kinston,UX1991,UX1991-115,1,2,NA,NA,95,0,18.2,2,42.341,14.741,15.357,168,2.5384615384615388
Kinston,UX1991,UX1991-117,1,2,NA,NA,80,0,15.8,2.6,44.203,14.032,15.09,163,2.5949367088607596
Kinston,UX1991,UX1991-12,1,4,0,NA,100,0,19.4,1.4,45.29,16.062,16.329,158,2.8453608247422686
Kinston,UX1991,UX1991-122,1,2,NA,NA,90,0,18.8,1.8,38.274,13.039,15.271,167,3.627659574468085
Kinston,UX1991,UX1991-124,1,3,0,NA,85,0,19.6,1.6,36.173,13.445,14.459,163,2.775510204081632
Kinston,UX1991,UX1991-125,1,4,1,NA,80,0,18.8,2.6,45.649,16.218,17.399,159,2.4574468085106385
Kinston,UX1991,UX1991-129,1,3,0,NA,105,0,21.4,1.2,42.936,14.914,16.128,163,2.8317757009345796
Kinston,UX1991,UX1991-13,1,3,0,NA,100,0,21.2,2.6,41.232,14.969,15.62,160,2.9339622641509435
Kinston,UX1991,UX1991-131,1,3,NA,NA,90,0,17.2,2.2,40.284,14.27,15.645,164,2.6279069767441863
Kinston,UX1991,UX1991-132,1,3,0,NA,70,0,21.2,0.8,45.13,16.778,17.5,159,2.547169811320755
Kinston,UX1991,UX1991-134,1,2,NA,NA,90,0,17.2,1,39.472,13.883,14.588,173,3.034883720930233
Kinston,UX1991,UX1991-137,1,3,1,NA,100,7.5,19.2,2.2,42.597,14.414,16.494,167,2.7291666666666665
Kinston,UX1991,UX1991-139,1,2,0,NA,90,0,20.2,0.6,37.028,13.63,15.023,166,3.2673267326732676
Kinston,UX1991,UX1991-14,1,2,0,NA,100,0,20.6,3.2,34.496,14.014,14.393,185,2.524271844660194
Kinston,UX1991,UX1991-141,1,2,NA,NA,95,0,21.2,2.2,28.992,10.304,12.813,184,3.6981132075471703
Kinston,UX1991,UX1991-142,1,3,NA,NA,85,12.5,23.4,0,40.612,14.775,15.594,160,2.777777777777778
Kinston,UX1991,UX1991-143,1,3,NA,NA,90,0,23,0.4,45.576,16.155,17.126,168,3.2086956521739127
Kinston,UX1991,UX1991-144,1,4,NA,NA,95,0,19.4,2.4,43.369,14.161,16.24,161,3.2371134020618557
Kinston,UX1991,UX1991-145,1,2,NA,NA,90,10,20.4,0.6,36.38,13.351,14.494,171,2.7058823529411766
Kinston,UX1991,UX1991-146,1,3,NA,NA,90,0,18.5,2.25,40.03,13.132,14.369,163,3.472972972972973
Kinston,UX1991,UX1991-147,1,3,0,NA,90,0,21.8,2.4,43.954,15.399,16.205,165,2.9724770642201834
Kinston,UX1991,UX1991-148,1,2,NA,NA,100,0,21,0.8,36.983,13.608,15.471,185,3.5619047619047617
Kinston,UX1991,UX1991-149,1,3,NA,NA,85,22.5,18,2.8,36.06,10.624,14.344,168,4.811111111111111
Kinston,UX1991,UX1991-151,1,4,NA,NA,85,0,14.2,3,39.877,13.768,14.263,152,2.704225352112676
Kinston,UX1991,UX1991-152,1,1,NA,NA,90,0,16.4,1.8,32.601,12.795,13.528,172,2.6219512195121952
Kinston,UX1991,UX1991-153,1,2,NA,NA,85,0,19.2,0.6,45.486,13.598,18.088,166,4.187500000000001
Kinston,UX1991,UX1991-155,1,4,NA,NA,70,0,18,1.8,40.103,14.5625,15.241,153,2.522222222222222
Kinston,UX1991,UX1991-156,1,3,NA,NA,95,0,19.2,1.4,42.866,11.216,15.76,167,1.5520833333333335
Kinston,UX1991,UX1991-158,1,2,NA,NA,75,0,21.6,1.8,40.034,14.036,15.438,168,3.046296296296296
Kinston,UX1991,UX1991-159,1,2,NA,NA,85,0,21,1,42.141,14.78,15.588,167,3.2
Kinston,UX1991,UX1991-160,1,2,NA,NA,80,0,21.4,1.8,51.27,17.169,18.125,158,2.299065420560748
Kinston,UX1991,UX1991-165,1,2,NA,NA,100,0,19.6,1,39.861,13.389,15.722,184,3.2551020408163263
Kinston,UX1991,UX1991-166,1,2,NA,NA,90,0,19.4,1.8,40.391,14.802,15.472,173,2.8659793814432994
Kinston,UX1991,UX1991-169,1,3,1,NA,95,0,17.2,2,36.596,13.813,15.153,184,3.011627906976744
Kinston,UX1991,UX1991-17,1,3,0,NA,90,0,22,2.2,37.692,14.369,14.86,164,2.4363636363636365
Kinston,UX1991,UX1991-170,1,2,NA,NA,90,0,18.4,0.4,41.101,14.433,15.598,170,3.695652173913044
Kinston,UX1991,UX1991-171,1,3,NA,NA,85,5,20.4,1.6,39.606,14.261,15.195,159,2.7058823529411766
Kinston,UX1991,UX1991-173,1,2,NA,NA,75,20,21.4,1,34.767,12.373,14.108,185,3.551401869158879
Kinston,UX1991,UX1991-174,1,3,0,NA,90,0,19.6,1.4,37.409,13.357,14.279,171,3.122448979591837
Kinston,UX1991,UX1991-175,1,3,0,NA,90,0,21.8,1.4,19.2855,14.228,15.1775,168,3.3761467889908254
Kinston,UX1991,UX1991-177,1,3,2,NA,100,0,20,1.4,43.516,15.857,16.659,164,3.13
Kinston,UX1991,UX1991-178,1,2,NA,NA,105,0,20,0.8,39.998,14.548,15.922,183,2.59
Kinston,UX1991,UX1991-179,1,3,1,NA,75,5,19,1.4,40.95,14.285,15.576,159,2.5789473684210527
Kinston,UX1991,UX1991-18,1,3,2,NA,100,0,19.4,3,43.846,15.548,15.494,154,2.680412371134021
Kinston,UX1991,UX1991-180,1,2,NA,NA,95,0,20.4,1.4,37.94,12.205,14.844,168,3.833333333333334
Kinston,UX1991,UX1991-181,1,3,2,NA,110,0,20.6,2.4,45.82,16.011,16.683,165,2.902912621359223
Kinston,UX1991,UX1991-182,1,2,0,NA,95,0,18.8,2.8,45.334,15.71,16.561,168,3.24468085106383
Kinston,UX1991,UX1991-188,1,4,0,NA,85,0,17.4,0.6,43.369,16.024,16.716,153,3.344827586206897
Kinston,UX1991,UX1991-19,1,2,0,NA,90,20,21.2,1.6,47.97,16.754,17.282,158,2.556603773584906
Kinston,UX1991,UX1991-196,1,4,1,NA,95,0,19.4,1.8,45.49,15.8,16.665,151,3.041237113402062
Kinston,UX1991,UX1991-199,1,3,0,NA,105,0,19,2.8,45.332,15.778,16.565,160,2.9157894736842103
Kinston,UX1991,UX1991-2,1,3,0,NA,95,0,19.6,2.4,44.409,16.221,16.878,161,3.193877551020408
Kinston,UX1991,UX1991-20,1,4,1,NA,95,20,18.4,2.2,42.393,15.033,16.136,157,2.836956521739131
Kinston,UX1991,UX1991-200,1,3,NA,NA,80,15,20.8,1,38.67,14.214,14.999,168,2.7884615384615383
Kinston,UX1991,UX1991-201,1,2,NA,NA,75,5,19.6,2.4,38.33,12.099,13.736,160,2.4897959183673466
Kinston,UX1991,UX1991-202,1,4,NA,NA,70,0,17.4,0.4,36.54,13.8,14.364,154,3.241379310344828
Kinston,UX1991,UX1991-203,1,2,NA,NA,90,0,19.6,1.6,35.606,13.107,14.34,185,1.2959183673469385
Kinston,UX1991,UX1991-204,1,2,NA,NA,90,0,19.2,1.4,43.242,15.284,15.966,169,2.510416666666667
Kinston,UX1991,UX1991-21,1,3,0,NA,110,0,18.6,3.6,41.87,15.405,16.047,167,2.6559139784946235
Kinston,UX1991,UX1991-22,1,2,0,NA,100,0,20,1.2,45.461,16.487,17.367,167,3.5700000000000003
Kinston,UX1991,UX1991-23,1,4,0,NA,100,10,22.2,2.2,43.631,16.329,17.126,158,2.8378378378378377
Kinston,UX1991,UX1991-25,1,4,0,NA,95,10,16.8,2,50.125,17.22,17.949,149,2.9047619047619047
Kinston,UX1991,UX1991-29,1,2,0,NA,100,0,19.4,2.2,37.602,14.522,15.309,177,3.103092783505155
Kinston,UX1991,UX1991-3,1,2,0,NA,100,0,20.2,1.4,41.486,15.67,16.294,164,3.1980198019801978
Kinston,UX1991,UX1991-30,1,3,0,NA,95,0,17.2,1.8,45.492,16.385,16.879,156,2.8488372093023258
Kinston,UX1991,UX1991-34,1,3,0,NA,110,0,19,2,42.085,15.412,16.077,156,2.8105263157894735
Kinston,UX1991,UX1991-35,1,4,2,NA,100,0,19.2,1.8,44.704,15.383,16.593,161,3.46875
Kinston,UX1991,UX1991-36,1,3,NA,NA,100,0,23.2,2.4,42.262,14.986,16.082,163,3.370689655172414
Kinston,UX1991,UX1991-37,1,2,0,NA,95,0,18.2,2,44.151,15.767,16.063,158,2.9120879120879124
Kinston,UX1991,UX1991-38,1,2,0,NA,95,0,20.6,1.6,39.802,15.494,16.052,176,3.3106796116504853
Kinston,UX1991,UX1991-4,1,3,2,NA,90,0,18.6,2.6,40.244,14.791,15.35,152,3.172043010752688
Kinston,UX1991,UX1991-41,1,4,0,NA,90,0,18.2,2.2,44.379,15.461,15.698,150,2.3846153846153846
Kinston,UX1991,UX1991-42,1,2,0,NA,105,0,21.6,2.2,45.343,16.069,16.912,164,3.333333333333333
Kinston,UX1991,UX1991-43,1,4,0,NA,90,0,17,2.2,51.244,17.716,18.248,149,2.4
Kinston,UX1991,UX1991-44,1,3,2,NA,100,0,18.2,1.2,42.754,15.241,15.637,156,3.043956043956044
Kinston,UX1991,UX1991-47,1,2,0,NA,95,10,16.2,2.8,43.176,15.321,16.124,166,2.802469135802469
Kinston,UX1991,UX1991-48,1,2,0,NA,95,0,20.6,1.6,39.478,14.267,15.915,166,3.7378640776699026
Kinston,UX1991,UX1991-5,1,3,0,NA,85,0,19.6,1.4,42.008,15.499,16.213,151,3.173469387755102
Kinston,UX1991,UX1991-51,1,3,0,NA,110,10,19.8,2.8,36.578,13.761,14.289,176,2.7676767676767673
Kinston,UX1991,UX1991-52,1,4,1,NA,100,0,20.2,2.6,43.831,16.437,17.144,158,3.0495049504950495
Kinston,UX1991,UX1991-53,1,3,1,NA,100,0,20.2,3,43.753,15.349,16.417,163,3.099009900990099
Kinston,UX1991,UX1991-55,1,3,0,NA,95,0,22.2,1.6,44.457,15.944,16.946,164,3.2522522522522523
Kinston,UX1991,UX1991-58,1,2,2,NA,85,0,19,2.6,44.262,15.253,15.387,158,2.568421052631579
Kinston,UX1991,UX1991-59,1,2,0,NA,95,10,20.66667,1.6666667,48.045,17.011,17.653,160,2.8951608233611577
Kinston,UX1991,UX1991-6,1,3,0,NA,100,0,18,2.4,45.49,16.344,17.017,160,2.8333333333333335
Kinston,UX1991,UX1991-60,1,4,0,NA,100,0,20.4,2,46.898,16.934,17.276,156,3.058823529411765
Kinston,UX1991,UX1991-62,1,2,2,NA,95,0,17,2.8,48.649,16.999,17.344,166,2.611764705882353
Kinston,UX1991,UX1991-63,1,3,1,NA,95,10,19,2.4,40.367,14.812,15.516,159,2.7157894736842105
Kinston,UX1991,UX1991-64,1,3,0,NA,95,0,20.6,2,40.104,14.765,15.449,154,3.1456310679611645
Kinston,UX1991,UX1991-67,1,4,1,NA,95,0,19.5,1,41.823,15.178,15.857,152,2.923076923076923
Kinston,UX1991,UX1991-69,1,4,2,NA,95,40,16.8,2.8,49.53,17.012,17.764,148,2.928571428571429
Kinston,UX1991,UX1991-7,1,2,0,NA,95,0,22.8,2.6,36.784,14.618,15.429,184,3.3947368421052633
