family,trait,marker,MAF,p
UX1991,Awns,S5A_706444730,0.4228855721393035,4.140075043888303e-34
UX1991,Awns,S5A_706574241,0.4228855721393035,2.9003457561943815e-26
UX1991,Awns,S5A_708634151,0.42288557213930345,1.2744739268871124e-60
UX1991,Awns,S6A_3705799,0.47263681592039797,1.6631187899133638e-8
UX1991,Awns,S6A_18531136,0.47761194029850745,1.3420845783816784e-7
UX1991,Awns,S7A_670855477,0.44776119402985076,3.0438812953220803e-6
UX1991,Awns,S7B_483028627,0.5,1.0168495735158033e-6
UX1991,Awns,S7B_536555093,0.49751243781094523,1.1021440093284109e-6
UX1992,Awns,S2A_18363658,0.46084337349397586,2.8943985269981455e-6
UX1992,Awns,S3A_737648229,0.4743975903614458,1.6523896812089918e-6
UX1992,Awns,S3B_418882248,0.4849397590361446,7.359588365868177e-7
UX1992,Awns,S3B_475996378,0.4894578313253012,3.4550030243236125e-07
UX1992,Awns,S3D_318770563,0.3539156626506024,3.2959703564468737e-6
UX1992,Awns,S5A_663218059,0.49849397590361444,3.6595754417834563e-8
UX1992,Awns,S5A_663218064,0.42620481927710846,1.890743394527542e-8
UX1992,Awns,S5A_663320327,0.49548192771084343,3.1732978163704574e-15
UX1992,Awns,S5A_663583007,0.42319277108433734,9.337264139964524e-10
UX1992,Awns,S5A_663721338,0.49548192771084343,2.383201163037457e-6
UX1992,Awns,S5A_666261379,0.4924698795180723,8.78453002989885e-8
UX1992,Awns,S5A_666524605,0.4894578313253012,1.4213665626374493e-8
UX1992,Awns,S5A_671212775,0.48493975903614456,1.6214579893223943e-6
UX1992,Awns,S5A_673730203,0.4683734939759036,8.717737258895663e-13
UX1992,Awns,S5A_673738365,0.4683734939759036,9.679718879401628e-17
UX1992,Awns,S5A_678232514,0.4683734939759036,9.35334843026041e-14
UX1992,Awns,S5A_678294082,0.46837349397590367,6.17562224901255e-44
UX1992,Awns,S5A_680073489,0.46837349397590367,1.0992794326966647e-32
UX1992,Awns,S5A_680218556,0.4743975903614458,3.513784828979581e-11
UX1992,Awns,S5A_680219236,0.4743975903614458,3.674977794562369e-43
UX1992,Awns,S5A_680903895,0.45783132530120485,6.118414757805787e-41
UX1992,Awns,S5A_680980888,0.45783132530120485,1.6996075758605084e-39
UX1992,Awns,S5A_681251635,0.4563253012048193,2.644668690273697e-73
UX1992,Awns,S5A_682890015,0.45331325301204817,3.323514036157909e-8
UX1992,Awns,S5A_688302437,0.4593373493975904,1.7091115541633215e-16
UX1992,Awns,S5A_689199932,0.44728915662650603,4.2858277070397847e-69
UX1992,Awns,S5A_689416848,0.4713855421686747,6.551243357270765e-105
UX1992,Awns,S5A_689416952,0.4713855421686747,4.072172910591223e-116
UX1992,Awns,S5A_692538048,0.48042168674698793,5.539988376792316e-16
UX1992,Awns,S5A_692768702,0.48042168674698793,5.744513928112841e-9
UX1992,Awns,S5A_692832158,0.4819277108433735,6.966303588783997e-42
UX1992,Awns,S5A_695581531,0.4819277108433735,3.7088996734579694e-22
UX1992,Awns,S5A_696954826,0.47740963855421686,1.7432435254317216e-16
UX1992,Awns,S5A_696993814,0.48042168674698793,1.2719316812422334e-16
UX1992,Awns,S5A_698003176,0.4879518072289157,1.1748655530705651e-18
UX1992,Awns,S5A_698127185,0.4713855421686747,2.0482433724862117e-18
UX1992,Awns,S5A_699777388,0.4939759036144578,2.451920327227137e-121
UX1992,Awns,S5A_700181210,0.48493975903614456,3.927464372570821e-22
UX1992,Awns,S5A_702491802,0.4879518072289157,6.862487543772302e-167
UX1992,Awns,S5A_702504844,0.4879518072289157,3.167107762924832e-90
UX1992,Awns,S5A_702607245,0.4894578313253012,4.1508455250381643e-255
UX1992,Awns,S5A_703746660,0.4924698795180723,3.88329005024602e-29
UX1992,Awns,S5A_705898826,0.46987951807228917,1.0026028847957121e-239
UX1992,Awns,S5A_706065949,0.47289156626506024,1.0565405729188462e-13
UX1992,Awns,S5A_706705101,0.47289156626506024,1.7132182036459973e-52
UX1992,Awns,S5A_708634151,0.4789156626506024,1.2744739268871124e-60
UX1992,Awns,S6A_1675032,0.4864457831325301,8.43015375975711e-7
UX1992,Awns,S6A_3705799,0.4864457831325301,1.6631187899133638e-8
UX1992,Awns,S6A_5480597,0.4969879518072289,8.646479148574732e-10
UX1992,Awns,S6A_5570459,0.4969879518072289,1.3868245892038175e-6
UX1992,Awns,S6A_6008225,0.4969879518072289,6.256800489746777e-8
UX1992,Awns,S6A_6008295,0.4969879518072289,1.7181689664079082e-6
UX1992,Awns,S6A_18531136,0.49397590361445787,1.3420845783816784e-7
UX1992,Awns,S7A_672074883,0.4864457831325302,2.929223845170504e-7
UX1992,Awns,S7B_44769401,0.46987951807228917,1.912911775042371e-6
UX1993,Awns,S3B_475996378,0.45707070707070707,3.4550030243236125e-07
UX1993,Awns,S5A_671212775,0.4242424242424242,1.6214579893223943e-6
UX1993,Awns,S5A_673738365,0.4494949494949495,9.679718879401628e-17
UX1993,Awns,S5A_677743402,0.4974747474747475,1.0160320832367792e-19
UX1993,Awns,S5A_678202413,0.49747474747474746,8.045532198614571e-21
UX1993,Awns,S5A_678202918,0.49747474747474746,2.803629627507285e-9
UX1993,Awns,S5A_678204312,0.49747474747474746,3.411546288743818e-21
UX1993,Awns,S5A_680219236,0.4898989898989899,3.674977794562369e-43
UX1993,Awns,S5A_684942630,0.494949494949495,1.0708542825487259e-11
UX1993,Awns,S5A_685216392,0.494949494949495,1.104770736868864e-16
UX1993,Awns,S5A_687882443,0.45707070707070707,3.708079554316989e-108
UX1993,Awns,S5A_688926732,0.48989898989898994,7.957325754337078e-12
UX1993,Awns,S5A_692538048,0.4898989898989899,5.539988376792316e-16
UX1993,Awns,S5A_692832158,0.4898989898989899,6.966303588783997e-42
UX1993,Awns,S5A_696954826,0.46464646464646464,1.7432435254317216e-16
UX1993,Awns,S5A_698003176,0.4595959595959596,1.1748655530705651e-18
UX1993,Awns,S5A_698127185,0.4595959595959596,2.0482433724862117e-18
UX1993,Awns,S5A_699777388,0.45959595959595956,2.451920327227137e-121
UX1993,Awns,S5A_704972977,0.4797979797979798,8.743210551134994e-21
UX1993,Awns,S5A_705898826,0.4949494949494949,1.0026028847957121e-239
UX1993,Awns,S5A_706065949,0.47474747474747475,1.0565405729188462e-13
UX1993,Awns,S5A_706574241,0.4747474747474747,2.9003457561943815e-26
UX1993,Awns,S5A_706574296,0.4747474747474747,3.228721751057168e-7
UX1993,Awns,S5A_706705101,0.47474747474747475,1.7132182036459973e-52
UX1993,Awns,S5A_708080564,0.47474747474747475,5.19631982235377e-41
UX1993,Awns,S6A_6008295,0.4494949494949495,1.7181689664079082e-6
UX1993,Awns,S7B_464456371,0.4823232323232323,1.2800369215067814e-7
UX1993,Awns,S7B_483028627,0.44191919191919193,1.0168495735158033e-6
UX1993,Awns,S7B_483329700,0.44191919191919193,4.811506892356531e-7
UX1993,Awns,S7B_538050866,0.49747474747474746,1.4901723830740616e-6
UX1993,Awns,S7B_538216972,0.4974747474747475,2.560221441583267e-7
UX1994,Awns,S2A_769644142,0.26548672566371684,1.317085592564198e-7
UX1994,Awns,S2B_24259162,0.48008849557522126,2.8512306509691378e-8
UX1994,Awns,S3A_10173722,0.4823008849557522,4.559831755225173e-10
UX1994,Awns,S3A_10173744,0.4823008849557522,3.311273215364678e-7
UX1994,Awns,S3A_15481185,0.49336283185840707,2.68940358225691e-6
UX1994,Awns,S5A_663583007,0.4601769911504425,9.337264139964524e-10
UX1994,Awns,S5A_663721338,0.4601769911504425,2.383201163037457e-6
UX1994,Awns,S5A_666261379,0.4601769911504425,8.78453002989885e-8
UX1994,Awns,S5A_678202918,0.4225663716814159,2.803629627507285e-9
UX1994,Awns,S5A_678294082,0.422566371681416,6.17562224901255e-44
UX1994,Awns,S5A_680073489,0.422566371681416,1.0992794326966647e-32
UX1994,Awns,S5A_680903895,0.41150442477876104,6.118414757805787e-41
UX1994,Awns,S5A_680980888,0.41150442477876104,1.6996075758605084e-39
UX1994,Awns,S5A_681251635,0.41371681415929207,2.644668690273697e-73
UX1994,Awns,S5A_682890015,0.415929203539823,3.323514036157909e-8
UX1994,Awns,S5A_683782328,0.3982300884955752,5.705227708188688e-44
UX1994,Awns,S5A_687882443,0.41371681415929207,3.708079554316989e-108
UX1994,Awns,S5A_689376973,0.4092920353982301,8.712991237541956e-16
UX1994,Awns,S5A_689416952,0.40265486725663713,4.072172910591223e-116
UX1994,Awns,S5A_689655302,0.4026548672566372,3.513405834382568e-187
UX1994,Awns,S5A_689659926,0.3982300884955752,3.1201819393190824e-156
UX1994,Awns,S5A_690417237,0.4026548672566372,1.9119155185150018e-117
UX1994,Awns,S5A_695581531,0.3827433628318584,3.7088996734579694e-22
UX1994,Awns,S5A_696910234,0.41371681415929207,2.1603400424023066e-92
UX1994,Awns,S5A_696954826,0.3827433628318584,1.7432435254317216e-16
UX1994,Awns,S5A_696993814,0.37831858407079644,1.2719316812422334e-16
UX1994,Awns,S5A_698003176,0.3805309734513274,1.1748655530705651e-18
UX1994,Awns,S5A_698127185,0.37168141592920356,2.0482433724862117e-18
UX1994,Awns,S5A_698528417,0.37831858407079644,0
UX1994,Awns,S5A_699777388,0.38053097345132747,2.451920327227137e-121
UX1994,Awns,S5A_699797574,0.37389380530973454,0
UX1994,Awns,S5A_699803948,0.36504424778761063,0
UX1994,Awns,S5A_702477666,0.3938053097345133,9.260754442501821e-219
UX1994,Awns,S5A_702491802,0.3938053097345132,6.862487543772302e-167
UX1994,Awns,S5A_702504844,0.3938053097345132,3.167107762924832e-90
UX1994,Awns,S5A_702607245,0.3938053097345132,4.1508455250381643e-255
UX1994,Awns,S5A_704583029,0.3827433628318584,8.3272496507697e-149
UX1994,Awns,S5A_704955073,0.38716814159292035,4.8021549022192284e-39
UX1994,Awns,S5A_704972977,0.38716814159292035,8.743210551134994e-21
UX1994,Awns,S5A_705130669,0.38716814159292035,2.8908292150245947e-19
UX1994,Awns,S5A_705293051,0.38716814159292035,3.0764879109399806e-150
UX1994,Awns,S5A_705495294,0.49557522123893805,5.953659247703467e-22
UX1994,Awns,S5A_705782830,0.39823008849557523,1.6513903170104338e-124
UX1994,Awns,S5A_705898826,0.3982300884955752,1.0026028847957121e-239
UX1994,Awns,S5A_706065949,0.39823008849557523,1.0565405729188462e-13
UX1994,Awns,S5A_706705101,0.43805309734513276,1.7132182036459973e-52
UX1994,Awns,S5A_708080564,0.40265486725663713,5.19631982235377e-41
UX1994,Awns,S5A_708634151,0.40265486725663713,1.2744739268871124e-60
UX1994,Awns,S5B_581138807,0.45132743362831856,3.0015224146795196e-7
UX1994,Awns,S6A_5480597,0.4424778761061947,8.646479148574732e-10
UX1994,Awns,S6A_5570459,0.4424778761061947,1.3868245892038175e-6
UX1994,Awns,S6A_6008225,0.4424778761061947,6.256800489746777e-8
UX1994,Awns,S6A_6008295,0.4424778761061947,1.7181689664079082e-6
UX1994,Awns,S6A_15830591,0.4601769911504425,4.4888336994761106e-9
UX1994,Awns,S7B_517633974,0.4977876106194691,1.0573374048614642e-6
UX1994,Awns,S7B_536555093,0.49336283185840707,1.1021440093284109e-6
UX1994,Awns,S7B_538050866,0.497787610619469,1.4901723830740616e-6
UX1994,Awns,S7B_538216972,0.497787610619469,2.560221441583267e-7
UX1994,Awns,S7B_540056850,0.497787610619469,1.657603316494442e-8
UX1995,Awns,S1B_476075012,0.3967889908256881,1.2842291922413686e-9
UX1995,Awns,S1D_416702650,0.46100917431192656,2.3525337032334625e-8
UX1995,Awns,S2A_18363658,0.31422018348623854,2.8943985269981455e-6
UX1995,Awns,S2A_745298437,0.4862385321100917,1.5778900112084964e-6
UX1995,Awns,S2A_745301091,0.49311926605504586,1.5778900112084964e-6
UX1995,Awns,S2A_749739464,0.4954128440366973,6.708816415170807e-7
UX1995,Awns,S2A_749739517,0.4954128440366973,7.167155074918218e-7
UX1995,Awns,S2D_534519095,0.4908256880733945,8.064524181207307e-7
UX1995,Awns,S3A_519219872,0.4655963302752294,1.3240578310494784e-7
UX1995,Awns,S3A_731514682,0.47706422018348627,2.8634558574156157e-8
UX1995,Awns,S3A_731523624,0.47706422018348627,2.140563863346597e-9
UX1995,Awns,S3A_737817022,0.45412844036697253,2.143581240881203e-7
UX1995,Awns,S3B_136490267,0.4311926605504587,6.750494792876628e-7
UX1995,Awns,S3B_155413765,0.44495412844036697,1.0903766342069531e-6
UX1995,Awns,S3B_166161045,0.4518348623853211,1.3631710183494126e-6
UX1995,Awns,S3B_279646233,0.4701834862385321,1.6792624373244057e-9
UX1995,Awns,S3B_418440403,0.4701834862385321,4.274018479657293e-7
UX1995,Awns,S3B_418882248,0.4701834862385321,7.359588365868177e-7
UX1995,Awns,S3B_422916670,0.4701834862385321,2.9592827282796897e-6
UX1995,Awns,S3B_462044022,0.463302752293578,1.9098948320607818e-8
UX1995,Awns,S3B_474031098,0.47706422018348627,2.2302313959783953e-7
UX1995,Awns,S3B_475996338,0.47706422018348627,1.6022173178130516e-9
UX1995,Awns,S3B_475996378,0.47706422018348627,3.4550030243236125e-07
UX1995,Awns,S3B_494706673,0.463302752293578,4.1931751135567924e-7
UX1995,Awns,S3B_506732618,0.463302752293578,2.854827884709234e-7
UX1995,Awns,S3B_521251721,0.463302752293578,9.529968856013301e-8
UX1995,Awns,S3B_523569576,0.48853211009174313,9.259598578690094e-8
UX1995,Awns,S3B_523569580,0.48853211009174313,2.448422708964632e-12
UX1995,Awns,S3B_545452283,0.4655963302752294,3.8582900293305035e-7
UX1995,Awns,S3B_545669409,0.4610091743119266,3.8022878286919987e-8
UX1995,Awns,S3B_547584938,0.4701834862385321,6.511550542007687e-7
UX1995,Awns,S3B_549990049,0.4701834862385321,1.1223663012254446e-7
UX1995,Awns,S3B_580521234,0.4701834862385321,2.2803433731089654e-6
UX1995,Awns,S3B_581263452,0.4701834862385321,1.6146171126443e-6
UX1995,Awns,S3B_699280695,0.4151376146788991,1.7306471130396326e-7
UX1995,Awns,S3B_700794225,0.4151376146788991,6.902352837192534e-9
UX1995,Awns,S3B_700931329,0.4151376146788991,1.535265374365917e-7
UX1995,Awns,S3B_702486243,0.4151376146788991,1.0838190287765427e-7
UX1995,Awns,S3B_703117174,0.4151376146788991,2.421711283249217e-6
UX1995,Awns,S3B_703844973,0.4151376146788991,1.2099150564517168e-9
UX1995,Awns,S3B_704328603,0.4151376146788991,8.238643942741771e-8
UX1995,Awns,S3B_720856499,0.39908256880733944,1.7216253050250292e-7
UX1995,Awns,S3B_723475233,0.39908256880733944,3.4853067627831536e-7
UX1995,Awns,S3B_727471820,0.4151376146788991,7.082273285248392e-7
UX1995,Awns,S3B_733004315,0.4036697247706422,3.052131326156883e-6
UX1995,Awns,S3B_734685280,0.4036697247706422,4.049544065373543e-10
UX1995,Awns,S3B_786510812,0.3577981651376147,3.578650922157951e-7
UX1995,Awns,S3D_318770563,0.4541284403669725,3.2959703564468737e-6
UX1995,Awns,S4A_45144499,0.48853211009174313,4.48032225200136e-11
UX1995,Awns,S4B_17439054,0.45642201834862384,9.991907156515578e-7
UX1995,Awns,S4B_25813325,0.46100917431192656,1.4534474392103448e-9
UX1995,Awns,S4B_139330923,0.48853211009174313,2.057627903401377e-7
UX1995,Awns,S4B_437625395,0.45642201834862384,3.1932895022116564e-7
UX1995,Awns,S4B_545180666,0.46100917431192656,3.630011136277874e-7
UX1995,Awns,S5A_9339296,0.4839449541284404,3.3911072980071485e-10
UX1995,Awns,S5A_75355976,0.463302752293578,3.1782862208423024e-7
UX1995,Awns,S5A_164067869,0.463302752293578,7.09233818271675e-7
UX1995,Awns,S5A_169302618,0.463302752293578,3.176796828735752e-7
UX1995,Awns,S5A_174574211,0.463302752293578,7.043379955139307e-7
UX1995,Awns,S5A_473018040,0.49082568807339455,1.6156025471735164e-14
UX1995,Awns,S5A_473021496,0.49082568807339455,4.721212915410455e-9
UX1995,Awns,S5A_473099913,0.49082568807339455,2.5235565170767877e-9
UX1995,Awns,S5A_473253439,0.49082568807339455,2.5169257021806334e-7
UX1995,Awns,S5A_485471189,0.49082568807339455,1.0585545595682444e-7
UX1995,Awns,S5A_487937718,0.49082568807339455,2.5091961592357773e-7
UX1995,Awns,S5A_502691655,0.4701834862385321,2.508892502301669e-6
UX1995,Awns,S5A_608879339,0.49311926605504586,3.5560594673230884e-13
UX1995,Awns,S5A_673483935,0.49082568807339455,2.6863445111456224e-117
UX1995,Awns,S5A_673548027,0.49082568807339455,5.03400464444862e-60
UX1995,Awns,S5A_673738365,0.4908256880733945,9.679718879401628e-17
UX1995,Awns,S5A_678556789,0.49770642201834864,6.459619395456145e-85
UX1995,Awns,S5A_678624236,0.49770642201834864,2.6228759929571552e-108
UX1995,Awns,S5A_680073489,0.49770642201834864,1.0992794326966647e-32
UX1995,Awns,S5A_680113449,0.49770642201834864,1.9342494608813185e-98
UX1995,Awns,S5A_680219223,0.49770642201834864,1.253121207279465e-199
UX1995,Awns,S5A_680219236,0.4977064220183486,3.674977794562369e-43
UX1995,Awns,S5A_680475258,0.31880733944954126,5.457798702193313e-55
UX1995,Awns,S5A_680628817,0.49770642201834864,9.729459520385914e-131
UX1995,Awns,S5A_680669707,0.49770642201834864,2.432955710038421e-131
UX1995,Awns,S5A_682890015,0.48853211009174313,3.323514036157909e-8
UX1995,Awns,S5A_687882443,0.48853211009174313,3.708079554316989e-108
UX1995,Awns,S5A_689199932,0.49770642201834864,4.2858277070397847e-69
UX1995,Awns,S5A_689416848,0.45871559633027525,6.551243357270765e-105
UX1995,Awns,S5A_689655302,0.45871559633027525,3.513405834382568e-187
UX1995,Awns,S5A_689659926,0.45871559633027525,3.1201819393190824e-156
UX1995,Awns,S5A_692768702,0.45871559633027525,5.744513928112841e-9
UX1995,Awns,S5A_698528417,0.4151376146788991,0
UX1995,Awns,S5A_699797574,0.41743119266055045,0
UX1995,Awns,S5A_702504844,0.42660550458715596,3.167107762924832e-90
UX1995,Awns,S5A_702633870,0.4036697247706422,0
UX1995,Awns,S5A_702637199,0.4036697247706422,4.408370944292622e-228
UX1995,Awns,S5A_703238196,0.4036697247706422,0
UX1995,Awns,S5A_705898826,0.40596330275229353,1.0026028847957121e-239
UX1995,Awns,S5A_706444730,0.45412844036697253,4.140075043888303e-34
UX1995,Awns,S5A_706574241,0.45412844036697253,2.9003457561943815e-26
UX1995,Awns,S5B_63845743,0.47477064220183485,2.522324288672303e-6
UX1995,Awns,S5B_678622484,0.47706422018348627,2.414729025235988e-6
UX1995,Awns,S5D_409542642,0.47477064220183485,1.3816813963008152e-7
UX1995,Awns,S6A_5480597,0.463302752293578,8.646479148574732e-10
UX1995,Awns,S6A_12313683,0.463302752293578,1.552649442747175e-7
UX1995,Awns,S6A_12459320,0.4954128440366973,3.0259138175436496e-6
UX1995,Awns,S6A_60167699,0.4954128440366973,2.3186357268880508e-7
UX1995,Awns,S6A_85370358,0.48853211009174313,1.8573625650442667e-7
UX1995,Awns,S6B_27863899,0.48853211009174313,6.722374313963427e-8
UX1995,Awns,S6B_33074347,0.47706422018348627,3.104023640729928e-7
UX1995,Awns,S6B_34318077,0.47706422018348627,1.526017737277295e-8
UX1995,Awns,S6B_35325568,0.49082568807339455,8.648256967709809e-9
UX1995,Awns,S6B_631137304,0.48623853211009177,3.7266261330111826e-8
UX1995,Awns,S6B_641761074,0.49770642201834864,2.9793529019043105e-8
UX1995,Awns,S6D_11266809,0.4380733944954128,7.961131928189056e-7
UX1995,Awns,S7A_670855477,0.4954128440366973,3.0438812953220803e-6
UX1995,Awns,S7B_44769401,0.4678899082568807,1.912911775042371e-6
UX1995,Awns,S7B_59821499,0.481651376146789,6.431814103743564e-7
UX1995,Awns,S7B_63769757,0.4839449541284404,1.1493258541718235e-6
UX1995,Awns,S7B_152782085,0.46559633027522934,2.1114237160291143e-9
UX1995,Awns,S7B_163576315,0.46559633027522934,8.973154239425537e-11
UX1995,Awns,S7B_244390961,0.4701834862385321,1.3283289981946194e-6
UX1995,Awns,S7B_244597573,0.4701834862385321,3.973268180231425e-7
UX1995,Awns,S7B_250028657,0.4701834862385321,4.203425091673096e-7
UX1995,Awns,S7B_380852459,0.463302752293578,1.0950266662163842e-6
UX1995,Awns,S7B_483028627,0.46559633027522934,1.0168495735158033e-6
UX1995,Awns,S7B_641600757,0.4724770642201835,3.0512291057001326e-6
UX1995,Awns,S7B_657132130,0.4908256880733945,1.2905253259235234e-6
UX1997,Awns,S1B_35060173,0.3857142857142857,2.462034293546374e-6
UX1997,Awns,S1B_476075012,0.430952380952381,1.2842291922413686e-9
UX1997,Awns,S1B_569563714,0.47857142857142854,5.320686890334195e-10
UX1997,Awns,S1B_623569840,0.4642857142857143,2.078508930174439e-6
UX1997,Awns,S1B_635546393,0.45238095238095233,2.1961486004141125e-7
UX1997,Awns,S2A_45100758,0.419047619047619,1.3602959756658824e-8
UX1997,Awns,S2A_669103130,0.4595238095238095,2.4304616934039578e-8
UX1997,Awns,S2A_709741134,0.43333333333333335,1.453722871268102e-7
UX1997,Awns,S2A_732990370,0.43333333333333335,3.8307395517718707e-11
UX1997,Awns,S2A_745298437,0.49047619047619045,1.5778900112084964e-6
UX1997,Awns,S2A_745301091,0.49047619047619045,1.5778900112084964e-6
UX1997,Awns,S2A_749739464,0.4976190476190476,6.708816415170807e-7
UX1997,Awns,S2A_749739517,0.4976190476190476,7.167155074918218e-7
UX1997,Awns,S2A_757862621,0.48809523809523814,6.263269117744968e-7
UX1997,Awns,S2A_769644142,0.4738095238095238,1.317085592564198e-7
UX1997,Awns,S2B_24259162,0.2714285714285714,2.8512306509691378e-8
UX1997,Awns,S2D_469630582,0.2833333333333333,1.8201962268460537e-9
UX1997,Awns,S2D_534519095,0.30238095238095236,8.064524181207307e-7
UX1997,Awns,S3A_10173722,0.38095238095238093,4.559831755225173e-10
UX1997,Awns,S3A_540519827,0.39761904761904765,8.652609120449616e-9
UX1997,Awns,S3A_560829797,0.36904761904761907,2.614141077179995e-6
UX1997,Awns,S3A_574016037,0.3976190476190476,4.1508668164203145e-8
UX1997,Awns,S3A_731523624,0.4452380952380952,2.140563863346597e-9
UX1997,Awns,S3A_737817022,0.4642857142857143,2.143581240881203e-7
UX1997,Awns,S3B_155413765,0.4666666666666667,1.0903766342069531e-6
UX1997,Awns,S3B_369745054,0.4595238095238095,1.690943084348474e-8
UX1997,Awns,S3B_418440403,0.4738095238095238,4.274018479657293e-7
UX1997,Awns,S3B_418882248,0.4738095238095238,7.359588365868177e-7
UX1997,Awns,S3B_422916670,0.4738095238095238,2.9592827282796897e-6
